rank	username	minecraft:dropped/minecraft:slime_block
1	EcksD	66987
2	noam464	17640
3	thewindmillman	2958
4	eitanzaki	2931
5	Di_infiri	1323
6	TheEnderman548	1106
7	MyNameIsJobo	1104
8	YungMaki	1063
9	Blaiku	1045
10	Spacewardharpy7	941
11	Lord_Zacler	704
12	joethahobo	698
13	PhantomBionic	448
14	lordpipe	321
15	thescout7	217
15	Bumpy419	217
17	Smoke____	201
18	HellsSponge	197
19	Freak_Genius	194
20	Deathkob	192
21	FreddyFart	184
22	lillips	135
23	Spenduh	132
24	Dogcorn69420	128
24	oxfordschool	128
26	kinas45y5	118
27	Blackberry1310	88
28	Mahoose	85
29	Skippeh	73
30	kekhon	69
30	victorLIE	69
32	_Dean_123	64
32	eviltunix	64
32	aao001	64
35	EcksDofficial	61
36	Werbe	60
37	TheMilkerOfCats	58
37	Deodorante	58
39	Blu3beast	52
40	Nicserso	51
41	WyngGoy	50
42	Eraxa	48
43	Lord_Jord	44
44	PigDab	39
44	Miko_Fullbuster	39
46	beeperbeeper5	38
46	chipklip	38
48	Soplight	34
49	brofrickcheaters	33
49	Ezekson	33
51	xxPipperDipperxx	29
52	set67	28
53	vandmanden	26
54	AuroraValkyrie	24
54	Frozil12	24
56	Wowful	23
56	Karbl	23
56	TechnoNinja64	23
59	jcool7	19
60	NotKaden_	18
60	SkateboardR6	18
62	The_Thund	17
62	ChampBoii	17
62	Soap_Bender	17
62	MightyWertu	17
66	rarrq	13
66	Snowflowe	13
66	Groundler	13
66	Kyrum2169	13
70	himak1	12
70	Akoot_	12
72	Jackattack53	11
72	drompje	11
74	Muffindrake	10
75	I_Am_Mushkin	9
75	Incinere	9
75	pixelviolin	9
78	SteveCraftBlocks	8
79	BumbleBeever	7
79	PlasticOtari	7
81	fr0stss	6
81	500am	6
81	Fullut	6
81	fred870d	6
81	DarlaMeow	6
86	Gryglu583	5
86	PortlyPete69	5
88	Xalithia	4
88	lOlmantschi	4
88	RobotMinion101	4
88	Truckoss	4
88	Racengan	4
93	TheSecondLord	3
93	SuperPooch06	3
93	Hyp3rion_	3
93	bee_gorl	3
93	stavgod	3
93	KG1999	3
93	SvenskaHugo	3
93	FelixPSY375	3
101	_Virify_	2
101	DepressedCubic	2
101	KarlKaek	2
101	SaucyDark	2
101	Mimiir345	2
101	ROY4LE	2
101	fr_ser	2
101	andy_rex	2
101	avalan64	2
101	monky_irl	2
101	djancak	2
101	RadarHz	2
101	HesDemonPants	2
101	MeetTheWollo	2
115	Groovy_MoonBird	1
115	ImpavidArcher	1
115	_Nuf	1
115	G1ldor	1
115	r123moore	1
115	benediktine1	1
115	mimbo1211	1
115	Marbz_	1
115	loveseeker	1
115	Doom_melon	1
115	Chromary	1
115	DC_XII	1
115	Sky_light_KING	1
115	fkGrim	1
115	claivin	1
115	Warlord324	1
115	MovingFish7	1
115	ediballbearings	1
115	Dreamdbr14	1
115	jnp_gaming	1
115	Sral7	1
115	Zoeyfortnite	1
115	FishisTTV	1
