rank	username	minecraft:dropped/minecraft:light_blue_shulker_box
1	thewindmillman	128
2	pintsizedrogue	10
3	kekhon	9
3	noam464	9
3	wezzzi	9
6	Mahoose	7
6	stahouo	7
8	eitanzaki	5
8	Spacewardharpy7	5
10	teslawolf38	4
11	diamondgolem35	3
11	beeperbeeper5	3
11	Marbz_	3
11	Hiryu27	3
11	chipklip	3
11	HellsSponge	3
11	NameGenerat0r	3
11	Blaiku	3
11	Hermanni__	3
11	oxfordschool	3
21	joethahobo	2
21	thescout7	2
21	Werbe	2
21	Maenara	2
21	lillips	2
21	Blu3beast	2
21	Th6masss	2
21	monky_irl	2
21	Kowcio_	2
21	YungMaki	2
21	lcvezra	2
21	stellarjay	2
21	jnp_gaming	2
34	seanitoo	1
34	6king6colt6	1
34	Wolf_Mauler_73	1
34	ssleepless	1
34	SaucyDark	1
34	peach0s	1
34	titanlax	1
34	Blackberry1310	1
34	eddiehobbit	1
34	MattieHD	1
34	CyrusIsTired	1
34	Smashic	1
34	Kkanot	1
34	mwrty	1
34	fade_emerge78823	1
34	xxPipperDipperxx	1
34	Dyosy	1
34	Di_infiri	1
34	Jackattack53	1
34	Chromary	1
34	Rumpletaezer	1
34	Hyp3rion_	1
34	Hoid_the_Roamer	1
34	Skylord_Luke	1
34	ApophisNova	1
34	k1ngGilgamesh	1
34	groofles	1
34	Sky_light_KING	1
34	Akoot_	1
34	masskedman	1
34	EveryonesUncle	1
34	Quincannon	1
34	QueenShuvi	1
34	MightyWertu	1
34	_czarny	1
34	Groundler	1
34	ElKaySVK	1
34	djancak	1
34	_TCARREIRA_	1
34	_Yonk_	1
34	obzii	1
34	Miko_Fullbuster	1
34	EcksD	1
34	MyNamaSheff	1
34	Enderslayerxz3	1
34	Legendosh	1
34	TechnoNinja64	1
34	PlasticOtari	1
34	Zoeyfortnite	1
34	Smoke____	1
34	Kateesaur	1
