rank	username	minecraft:dropped/minecraft:vine
1	TechnoNinja64	2249
2	eitanzaki	1217
3	xxPipperDipperxx	613
4	Akoot_	595
5	Eraxa	426
6	Huwulling	371
7	Blackberry1310	327
8	layabout100	294
9	beeperbeeper5	273
10	Lez_	250
11	luseis	228
12	thewindmillman	199
13	noam464	198
14	lordpipe	172
15	FreakGenius	144
16	Cryptacity	130
17	Blaiku	127
18	pintsizedrogue	115
19	GravitySaint	112
20	Hyp3rion_	108
21	bladeefan2009	87
22	YungMaki	83
23	Mahoose	70
24	ROY4LE	69
24	Jackattack53	69
26	HellsSponge	66
27	cedric72	65
27	NomadicRobin_	65
27	SammiWolfGirl	65
30	Historical_Sand	64
30	ediballbearings	64
30	Skippeh	64
33	Frozil20	63
34	MineMaster0012	57
35	RealGroot	55
36	Di_infiri	52
37	SteveCraftBlocks	49
38	12Magner05	46
39	kekhon	40
39	2Stout	40
41	CoffeeNoir	36
41	EcksD	36
43	Werbe	35
43	EveryonesUncle	35
45	Winklepicker279	34
46	xzvu	33
47	NotMeowMix	32
47	UCP_TheKingK	32
49	_Dean_123	31
50	Blu3beast	29
51	Fuad_R	26
52	KarlKaek	24
52	Karetoko	24
54	anbbang	21
55	500am	19
55	uprexcool	19
57	Inchef	17
58	rarrq	16
59	DAD_1996	15
59	camando92	15
61	SyntheticSurgeon	14
61	MinerDec	14
61	Jonte0599	14
64	_Bguette_	13
65	M_Patata	12
65	RoofTyler	12
65	Deerfoot	12
65	OffWithTheirHead	12
65	MasterNueve	12
70	SuperPooch06	11
70	BronkerBrum	11
70	Soplight	11
73	Smoke____	10
74	Quaintster	9
75	Smashic	8
75	BlueZabu	8
75	Kokeech	8
75	Sral7	8
79	gustarlep	7
79	SpouHn	7
79	Xclax101	7
82	PlasticOtari	6
83	Groovy_MoonBird	5
83	IamCL4SSY	5
83	ese_wn_po	5
83	El_Jalapeno	5
83	Kura2218	5
83	ConnorDanky_	5
89	Mattesco	4
89	Tyrannosplart	4
89	StinkyDiplomat	4
89	Factoroni	4
89	Steelynan	4
89	Vellu21	4
89	vandmanden	4
96	_Huge_Male_	3
96	Prismyst	3
96	CollinMH06	3
96	hanaryheatwave	3
96	d4mndaniel2	3
96	EtherealEspresso	3
96	jcool7	3
96	MilleGrug	3
104	H0UNDFRMH3LL	2
104	ImpavidArcher	2
104	mwrty	2
104	WET_WET_WET	2
104	Arceus1975	2
104	Rebytre	2
104	DarlaMeow	2
104	__hinterland__	2
112	peachfuzz1267	1
112	_stets	1
112	hollowww	1
112	SmashingPump	1
112	SirUnderpants	1
112	chlorinex	1
112	Ardennes	1
112	DSYisDizzy	1
112	ARandomHedge	1
112	PeteO1995	1
112	Skylord_Luke	1
112	TheShyPig	1
112	Leyna3	1
112	Maenara	1
112	fluddd	1
112	SpacesickPrism	1
112	Deguns123	1
112	Quotary	1
