rank	username	minecraft:dropped/minecraft:nether_star
1	noam464	945
2	EcksD	931
3	Spacewardharpy7	458
4	Frozil20	130
5	Smashic	32
6	eitanzaki	22
7	Mythic1130	17
8	jnp_gaming	15
9	rarrq	14
10	GlitchyPlate810	13
11	Hyp3rion_	12
12	Arceus1975	11
12	Smoke____	11
14	Huwulling	10
14	vandmanden	10
16	Di_infiri	9
17	Lez_	8
17	beeperbeeper5	8
17	YungMaki	8
17	TechnoNinja64	8
21	thescout7	7
22	TheSecondLord	6
23	kekhon	5
23	MattieHD	5
23	Chromary	5
23	thewindmillman	5
23	EveryonesUncle	5
23	mihimihimihi	5
23	Kowcio_	5
30	xxPipperDipperxx	4
30	gcaisawesome	4
30	Mattesco	4
30	NomadicRobin_	4
30	Tyrannosplart	4
30	Fuad_R	4
30	Blu3beast	4
30	Jimb0nat0r	4
38	Jindong	3
38	joethahobo	3
38	Akoot_	3
38	MyNameIsDakar	3
38	xzvu	3
38	Hermanni__	3
44	pintsizedrogue	2
44	nocturne78	2
44	Blackberry1310	2
44	Comma__	2
44	Fullut	2
44	Bumpy419	2
44	PigDab	2
44	Swiffin	2
44	Nicserso	2
53	Groovy_MoonBird	1
53	JohnnyFyes	1
53	Apollo_993	1
53	pZygh0st	1
53	I_Am_Mushkin	1
53	ColeSnyder	1
53	SaucyDark	1
53	Mahoose	1
53	jessewegottacook	1
53	bloodbiter	1
53	_Dean_123	1
53	SellyZ	1
53	Ecplosive	1
53	ImDisconnected_	1
53	CollinMH06	1
53	fr_ser	1
53	Jackattack53	1
53	Zythose	1
53	zToasty69z	1
53	Rasmanden	1
53	Leyna3	1
53	xDraggin	1
53	Wowful	1
53	luseis	1
53	toelong	1
53	The_Quack_Dealer	1
53	YungWali	1
53	GoofyBread	1
53	HellsSponge	1
53	_Karmaa	1
53	NameGenerat0r	1
53	Racengan	1
53	Eraxa	1
53	MineMaster0012	1
53	djancak	1
53	MilleGrug	1
53	Steelynan	1
53	Ezekson	1
53	ConnorDanky_	1
53	Quotary	1
53	BreadBacon	1
53	Enderxz3	1
53	Powowowow	1
53	PlasticOtari	1
53	WYFYoyo	1
