rank	username	minecraft:dropped/minecraft:bucket
1	noam464	10682
2	EcksD	10465
3	Jackattack53	2342
4	thewindmillman	1456
5	Hyp3rion_	1100
6	eitanzaki	507
7	joethahobo	461
8	PigDab	291
9	beeperbeeper5	263
10	FreakGenius	227
11	Mahoose	201
12	Di_infiri	190
13	Frozil20	126
14	Blackberry1310	124
15	Lez_	123
16	Werbe	122
17	RealGroot	121
18	PhantomsGhost_	104
19	Akoot_	103
20	kekhon	98
21	Smoke____	95
22	Spacewardharpy7	91
23	HellsSponge	87
24	Blaiku	82
25	thescout7	81
26	Marbz_	75
27	censorsheep	69
27	lordpipe	69
29	ImpavidArcher	60
29	SammiWolfGirl	60
31	lillips	56
32	Fuad_R	55
32	YungMaki	55
34	pintsizedrogue	53
35	_Nuf	52
36	ssleepless	50
36	Xalithia	50
38	GlitchyPlate810	47
39	olliebollie48	39
40	_Boipl_	38
40	Kowcio_	38
40	h2p_emrld	38
43	gusstationwerker	37
44	rarrq	36
45	Franco093	33
45	T045RTY	33
47	hanaryheatwave	32
48	Tyrannosplart	31
49	jnp_gaming	26
50	bladeefan2009	25
51	Blu3beast	24
51	Xclax101	24
51	PortlyPete69	24
54	_Dean_123	23
54	Rebytre	23
54	mihimihimihi	23
57	NameGenerat0r	22
57	SvenskaHugo	22
57	Legendosh	22
60	cedric72	21
60	__tomato	21
60	Steelynan	21
63	__Auspicious	20
63	Soplight	20
63	Enderxz3	20
66	xxPipperDipperxx	19
66	Winklepicker279	19
66	mariominejedi	19
66	KingMatthew506	19
66	Iamthejo	19
71	Huwulling	18
71	F_Uhre	18
71	Racengan	18
71	ConnorDanky_	18
71	PlasticOtari	18
76	Esme_1	17
76	nocturne78	17
76	Mattesco	17
76	Lord_Jord	17
76	Syropatathe	17
76	luseis	17
76	TechnoNinja64	17
83	Merv__	16
83	arcanemagic	16
83	Bumpy419	16
83	Russiancat1	16
83	MyNameIsDakar	16
83	Shogunite	16
83	fffMike	16
90	TheThomas69	15
90	Luminad3	15
90	the_russell1611	15
90	GravitySaint	15
94	CoffeeNoir	14
94	TheSecondLord	14
94	bloodbiter	14
94	stavgod	14
94	tsitrawhy	14
94	FishisTTV	14
100	tuckerdoodle	13
100	Shiirazu	13
100	AlexxO_o	13
100	NomadicRobin_	13
100	ItsJunoIGuess	13
100	Ezekson	13
106	SpaceGrenadier	12
106	Crowman1	12
106	hxdjxd	12
106	Smashic	12
106	Chromary	12
106	Voxin2K	12
106	xzvu	12
106	lcvezra	12
106	Nicserso	12
115	CadenSteele	11
115	SaucyDark	11
115	livingdaydreams	11
115	Rumpletaezer	11
115	LilyNova	11
115	masskedman	11
115	fkGrim	11
115	_Karmaa	11
115	fluddd	11
115	MineMaster0012	11
125	I_Am_Mushkin	10
125	hm947	10
125	SyntheticSurgeon	10
125	ShedJr_	10
125	Inchef	10
125	Paintz	10
125	MyNameIsJobo	10
125	binman420	10
125	Quaintster	10
125	Nnuma	10
125	marumochis	10
125	Wolverine4302	10
125	Powowowow	10
138	Groovy_MoonBird	9
138	EMC_	9
138	GingerNeutron	9
138	Secret_Canary	9
138	Mookle96	9
138	Windo_licker	9
138	Skylord_Luke	9
138	Onennon	9
138	stuy9	9
138	Wowful	9
138	Mythic1130	9
138	UCP_TheKingK	9
138	Zoeyfortnite	9
151	tsohomie	8
151	500am	8
151	mwrty	8
151	Zaridey	8
151	Doom_melon	8
151	seramalen	8
151	TheShyPig	8
151	TJawesome09	8
151	JoeSaysBingBong	8
151	El_Jalapeno	8
151	AvaRosey	8
151	SpacesickPrism	8
151	Dogcorn69420	8
151	MirielThePastor	8
151	xolstoi	8
166	_Virify_	7
166	q_wq	7
166	LeDuctTape	7
166	Myszoaz	7
166	corvidpartyfor6	7
166	Mewar	7
166	gcaisawesome	7
166	AJplaysMC_	7
166	RobotMinion101	7
166	zToasty69z	7
166	lizardfightclub	7
166	MightyWertu	7
166	Skippeh	7
179	pr33tu	6
179	SteveCraftBlocks	6
179	set67	6
179	lorpus	6
179	ROY4LE	6
179	KeruNatsema	6
179	ZA07	6
179	Elastiq	6
179	YungWali	6
179	RoofTyler	6
179	Warlord324	6
179	jcool7	6
179	cichy096	6
179	UrbanPlanningEx	6
179	Jimb0nat0r	6
179	diggydog67	6
195	_Huge_Male_	5
195	hollowww	5
195	Sleek_Storm_721	5
195	diamondgolem35	5
195	bigstankyy	5
195	Killercatty78	5
195	Incinere	5
195	Alteriity	5
195	ZaneABrain	5
195	lotarp	5
195	titanlax	5
195	Comma__	5
195	Kakolbus	5
195	Arceus1975	5
195	Hiryu27	5
195	k1ngGilgamesh	5
195	LeGold	5
195	jewbacaman	5
195	ori0le	5
