rank	username	minecraft:dropped/minecraft:acacia_trapdoor
1	Spacewardharpy7	944
2	El_Jalapeno	124
3	PigDab	116
4	noam464	70
5	lillips	42
6	eitanzaki	17
7	Wooptey	16
7	Ezekson	16
7	oxfordschool	16
10	Slapface522	14
11	Jackattack53	12
12	YungMaki	9
13	Groovy_MoonBird	7
14	EveryonesUncle	6
15	beeperbeeper5	5
15	Smoke____	5
17	Blackberry1310	4
17	Blaiku	4
17	PortlyPete69	4
20	Mahoose	3
21	joethahobo	2
21	ProfessorBee	2
21	SteveCraftBlocks	2
21	egglapras	2
21	Skylord_Luke	2
21	Kynigito	2
21	MyNameIsDakar	2
21	SkateboardR6	2
21	Kowcio_	2
21	Powowowow	2
31	youhjjhhhjj	1
31	Hyp3rion_	1
31	TheWildMateo	1
31	Mattesco	1
31	TheSeismicDuck	1
31	Shogunite	1
31	Spenduh	1
31	UltraZombie	1
31	cichy096	1
