rank	username	minecraft:dropped/minecraft:iron_ore
1	PigDab	7879
2	noam464	5574
3	Spacewardharpy7	5082
4	EcksD	2996
5	Werbe	1589
6	YungMaki	1477
7	AssEatrAndLicker	1351
8	Nyxiom_	1203
9	beeperbeeper5	1137
10	Di_infiri	1132
11	Blaiku	1049
12	eitanzaki	950
13	alderban107	861
14	lillips	838
15	HellsSponge	832
16	thewindmillman	788
17	Historical_Sand	728
18	Ezekson	629
19	thescout7	601
20	Xclax101	585
21	The11thDoctor	526
22	h2p_emrld	525
23	lordpipe	509
24	Frozil12	441
25	Hisiste	421
26	Blu3beast	390
27	stahouo	337
28	livingdaydreams	332
29	MeetTheWollo	326
30	fr0stss	240
31	Quaintster	239
31	sebastiensaborio	239
33	_Virify_	235
34	StylesK	231
35	I_Am_Mushkin	227
35	Freak_Genius	227
37	joethahobo	222
37	Spenduh	222
39	Inchef	218
40	fred870d	203
41	Natofthese	199
42	Skippeh	196
43	TheSecondLord	191
43	FishyBoy3811	191
45	Zoeyfortnite	185
46	gcaisawesome	178
47	kekhon	176
48	surfinggiraffejp	175
49	gabriels543	174
50	Smoke____	171
51	Fullut	169
51	Voxin2K	169
53	XboxPanda	165
53	Corbsman	165
55	Hyp3rion_	163
56	Racengan	160
57	Blackberry1310	159
57	SammiWolfGirl	159
59	NameGenerat0r	157
60	Chromary	153
60	Groundler	153
62	_Dean_123	150
62	WET_WET_WET	150
64	Mewar	148
65	_Yonk_	145
66	TechnoNinja64	143
67	jnp_gaming	142
68	lotarp	137
69	Enderslayerxz3	136
70	__tomato	134
71	chipklip	129
72	FallenCorps	128
73	Groovy_MoonBird	124
73	fluddd	124
75	33sudo	119
76	pZygh0st	118
77	M_Patata	113
78	Snowflowe	107
78	Meatlaugh	107
80	MasterNueve	106
81	_Nuf	105
81	NomadicRobin_	105
83	Rasmanden	104
84	mwrty	101
84	yulgur1	101
84	masskedman	101
87	Hanselhoof	100
88	diamondgolem35	99
89	Winklepicker279	98
89	SkateboardR6	98
91	boog4loo	96
91	Skylord_Luke	96
93	ogoa	95
94	Mahoose	91
94	500am	91
96	Wooptey	90
97	sp00ky_ghost977	89
98	T045RTY	86
98	Wowful	86
98	Kyrum2169	86
101	kinas45y5	85
102	jewbacaman	84
103	BobDeBouwer1337	82
103	silverpopcorn	82
103	WyngGoy	82
103	Soplight	82
107	Incinere	81
107	Lord_Jord	81
