rank	username	minecraft:dropped/minecraft:purpur_slab
1	thewindmillman	10467
2	PigDab	144
3	Manaateee	120
4	Blaiku	87
5	yulgur1	84
6	masskedman	76
7	eitanzaki	63
8	fkGrim	50
9	6king6colt6	47
10	Di_infiri	45
11	lordpipe	44
12	AltnumberF4	38
13	beeperbeeper5	31
14	YungMaki	30
14	xzvu	30
16	lillips	28
16	Blu3beast	28
18	Historical_Sand	22
19	jnp_gaming	21
20	Dogcorn69420	20
21	HellsSponge	19
21	MineMaster0012	19
21	AdmiralSmoke	19
24	500am	17
24	noam464	17
26	Awyrlas	16
27	thescout7	15
28	Frozil20	14
28	Covalents	14
28	MightyWertu	14
31	gcaisawesome	13
31	FreakGenius	13
33	Secret_Canary	12
34	Fullut	10
34	EveryonesUncle	10
36	Iagoku	9
36	audiocracked	9
36	Deodorante	9
39	Ryan_GEMS	8
39	Jackattack53	8
39	Werbe	8
39	MilleGrug	8
43	PhantomsGhost_	7
43	RebelAndroid	7
43	NameGenerat0r	7
43	Spacewardharpy7	7
43	Winston_Ingram	7
43	Skippeh	7
43	skrongus	7
50	EMC_	6
50	TheSecondLord	6
50	yheece	6
50	Bumpy419	6
50	vandmanden	6
50	Sral7	6
56	Comma__	5
56	crying_wolf_13	5
56	Rebytre	5
56	Mattesco	5
56	Maenara	5
56	ConnorDanky_	5
62	IronArshXS	4
62	Rich_Kat	4
62	set67	4
62	surfinggiraffejp	4
62	Noah_Bez	4
62	Donutt	4
62	MustaLoordi	4
62	Groundler	4
62	Racengan	4
62	lcvezra	4
62	stellarjay	4
62	CalebDHawk	4
74	ECstardust	3
74	itburb	3
74	Mewar	3
74	NomadicRobin_	3
74	_Bguette_	3
74	geekbird	3
74	SvenskaHugo	3
74	_TCARREIRA_	3
74	UrbanPlanningEx	3
83	Lepthymo	2
83	Groovy_MoonBird	2
83	AuroraValkyrie	2
83	Sleek_Storm_721	2
83	TooManyDuck	2
83	T045RTY	2
83	lorywithay	2
83	Inchef	2
83	Rumpletaezer	2
83	Hyp3rion_	2
83	Zythose	2
83	Onennon	2
83	ougstur	2
83	LeonelSalamanca	2
83	Nycteus_	2
83	Xclax101	2
83	Hisiste	2
83	izzybearh	2
83	ElectricDragon81	2
83	Kowcio_	2
83	Iamthejo	2
83	Ezekson	2
83	EcksD	2
83	Enderxz3	2
107	JohnnyFyes	1
107	CLG_Kata	1
107	ssleepless	1
107	chlorinex	1
107	jushykins	1
107	mwrty	1
107	XboxPanda	1
107	mariominejedi	1
107	CollinMH06	1
107	Marbz_	1
107	FishyBoy3811	1
107	zToasty69z	1
107	halfwayup	1
107	Akoot_	1
107	Nicky19	1
107	TheTrueClipse	1
107	AuroraSkies	1
107	TheSeismicDuck	1
107	Katthaj	1
107	Druid95	1
107	WyngGoy	1
107	33sudo	1
107	Strangemonkey71	1
107	Kyrum2169	1
107	Segotep999	1
107	Spenduh	1
107	LeEricc	1
107	striker90333	1
107	Quotary	1
107	Nicserso	1
107	FishisTTV	1
