rank	username	minecraft:dropped/minecraft:minecart
1	Jackattack53	1418
2	noam464	1394
3	T045RTY	1021
4	thewindmillman	817
5	EMC_	476
6	Hyp3rion_	296
7	Smashic	200
8	eitanzaki	174
9	Soplight	160
10	HellsSponge	96
11	Di_infiri	79
12	EcksD	77
13	PigDab	70
14	Blaiku	68
14	Smoke____	68
16	emrekn	65
17	thescout7	49
17	jnp_gaming	49
19	beeperbeeper5	38
20	WyngGoy	37
21	RobotMinion101	36
22	Werbe	31
23	pintsizedrogue	30
24	lordpipe	27
25	kekhon	26
25	DanTheBuilderino	26
27	Mahoose	23
27	FreakGenius	23
27	TechnoNinja64	23
30	_Virify_	22
30	Spacewardharpy7	22
30	fffMike	22
33	SteveCraftBlocks	21
33	Mythic1130	21
35	jcool7	20
36	Akoot_	19
36	lillips	19
38	ShedJr_	18
39	ProfessorBee	17
39	CollinMH06	17
41	Tyrannosplart	16
42	binman420	14
43	Frozil20	13
43	xxPipperDipperxx	13
45	MattieHD	12
45	Skylord_Luke	12
45	07shiny	12
48	Blu3beast	11
48	SkateboardR6	11
48	gusstationwerker	11
51	Shogunite	10
52	rarrq	9
52	YungMaki	9
52	2bolx_	9
52	PlasticOtari	9
56	H0UNDFRMH3LL	8
56	2Stout	8
56	Lord_Jord	8
56	The_slideV3	8
56	Groundler	8
56	SvenskaHugo	8
62	Wooptey	7
62	Blackberry1310	7
62	Fullut	7
62	Chromary	7
62	F_Uhre	7
62	NomadicRobin_	7
62	Racengan	7
62	stavgod	7
62	__tomato	7
62	xzvu	7
62	Steelynan	7
73	diamondgolem35	6
73	Prismyst	6
73	gcaisawesome	6
73	JESS_THE_RERE	6
73	Xclax101	6
73	Ezekson	6
73	ConnorDanky_	6
80	q_wq	5
80	SyntheticSurgeon	5
80	joethahobo	5
80	CliffEmAll	5
80	mariominejedi	5
80	ZA07	5
80	IamCL4SSY	5
80	ItsDeltaMC	5
80	pixelviolin	5
80	Kowcio_	5
80	Nicserso	5
80	Enderxz3	5
92	SmashingPump	4
92	AuroraValkyrie	4
92	6king6colt6	4
92	Shadoko_	4
92	Comma__	4
92	jacxhadow	4
92	lorpus	4
92	jedi_george	4
92	whoaluv	4
92	Rumpletaezer	4
92	Voxin2K	4
92	NoChumpChange	4
92	luseis	4
92	SlinkyPinky	4
92	Dusk_95	4
92	Eraxa	4
92	Chuglyfe	4
92	non089	4
92	alderban107	4
92	FelixPSY375	4
92	FishisTTV	4
113	Matemax	3
113	FazeObama69	3
113	bigstankyy	3
113	Huwulling	3
113	Lez_	3
113	TheSecondLord	3
113	XboxPanda	3
113	Saturith_	3
113	gabriels543	3
113	MyNameIsJobo	3
113	Moofyman	3
113	SullivanNephew	3
113	zToasty69z	3
113	FreddyFart	3
113	Quaintster	3
113	Nycteus_	3
113	silverpopcorn	3
113	SammiWolfGirl	3
113	LeeMcGee30	3
113	Hermanni__	3
113	Skippeh	3
113	UrbanPlanningEx	3
113	xolstoi	3
136	gary_	2
136	Bandito_Roamer	2
136	elicobnoah	2
136	PhantomsGhost_	2
136	soundad	2
136	pZygh0st	2
136	FrostySlimez	2
136	Esme_1	2
136	ExtraDumb	2
136	ImpavidArcher	2
136	Sleepy_Time_	2
136	BobDeBouwer1337	2
136	TheThomas69	2
136	noodlepack	2
136	Secret_Canary	2
136	500am	2
136	UncreativeArtist	2
136	NotTrixi	2
136	himak1	2
136	benediktine1	2
136	mimbo1211	2
136	TheDankPlatypus	2
136	Kakolbus	2
136	BlueZabu	2
136	0nly_sn1per	2
136	CarltheCuck	2
136	Zythose	2
136	Bumpy419	2
136	Rebytre	2
136	Hiryu27	2
136	CaptainDeadBread	2
136	HAIRYCLOUD626	2
136	Mandroch	2
136	dartwaffle	2
136	FishyBoy3811	2
136	Elastiq	2
136	TheTrueClipse	2
136	Wowful	2
136	Agent108	2
136	Inbefour	2
136	Russiancat1	2
136	IsabellasOF	2
136	Meatlaugh	2
136	jake314810	2
136	Fuad_R	2
136	Soap_Bender	2
136	MightyWertu	2
136	Warlord324	2
136	NotMeowMix	2
136	MakeHistory157	2
136	Razzgriz	2
136	IvarEXE	2
136	Luigipunch989	2
136	PortlyPete69	2
136	GlitchyPlate810	2
136	obzii	2
136	Sheldor097	2
136	mawileite	2
136	KingMatthew506	2
136	OfficerAnvil	2
136	Legendosh	2
136	Jimb0nat0r	2
136	Teebone15	2
199	Groovy_MoonBird	1
199	NatalieTW	1
199	No_Bena	1
