rank	username	minecraft:dropped/minecraft:light_gray_stained_glass_pane
1	HellsSponge	105
2	beeperbeeper5	73
3	Uzbeki_John	72
4	Historical_Sand	64
5	ImpavidArcher	52
6	lordpipe	44
7	noam464	43
8	SammiWolfGirl	41
9	EMC_	37
10	Cowison	32
10	gabriels543	32
12	Quotary	30
13	Frozil20	29
13	Inchef	29
15	ConnorDanky_	26
16	Rebytre	23
17	Aerqophs	22
17	Zoeyfortnite	22
19	Enderxz3	20
20	Blackberry1310	16
20	Di_infiri	16
20	RoofTyler	16
20	bladeefan2009	16
24	SullyhS	12
24	groofles	12
26	PlasticOtari	9
27	Luminad3	8
27	luseis	8
27	Eraxa	8
30	TheSecondLord	7
30	Blaiku	7
32	Merv__	6
32	SyntheticSurgeon	6
32	Jackattack53	6
32	parodypatient	6
32	Soplight	6
37	KarlKaek	4
37	Kura2218	4
39	Mahoose	3
40	T045RTY	2
41	thescout7	1
41	Werbe	1
41	FreakGenius	1
41	jnp_gaming	1
