rank	username	minecraft:dropped/minecraft:purple_banner
1	thewindmillman	580
2	SteveCraftBlocks	33
3	beeperbeeper5	21
4	Mattesco	20
5	1Byrd1	16
6	luseis	15
7	Apollo_993	10
7	Huwulling	10
7	DairyNickel756	10
10	k_ce	8
10	Spaghettatron	8
12	MattieHD	4
12	craaaash	4
14	pintsizedrogue	3
14	lordpipe	3
16	Lez_	2
16	Touched_Bread	2
16	_purple	2
19	ECstardust	1
19	Z3braYTIL	1
19	bl1ss0	1
19	gustarlep	1
19	HellsSponge	1
19	cutelilreno	1
19	JoCoLi	1
19	LazySupport00	1
19	Enderxz3	1
19	00000000-0000-0000-0009-01fe065167f0	1
