rank	username	minecraft:dropped/minecraft:light_gray_concrete
1	noam464	7074
2	thewindmillman	650
3	Blaiku	592
4	lordpipe	504
5	Glumb0	495
6	Groundler	493
7	eitanzaki	421
8	thescout7	359
9	gusstationwerker	295
10	Di_infiri	283
11	MattieHD	192
12	Hyp3rion_	130
13	ApophisNova	119
13	MyNamaSheff	119
15	Uzbeki_John	103
16	Jackattack53	90
17	H0UNDFRMH3LL	88
18	Blackberry1310	81
19	alderban107	64
20	Inchef	61
21	bigstankyy	60
22	Tyrannosplart	46
23	ese_wn_po	32
24	lillips	27
25	__Auspicious	25
26	CadenSteele	24
26	titanlax	24
28	I_Am_Mushkin	23
29	Xclax101	19
30	PortlyPete69	17
31	Racengan	14
32	ProfessorBee	12
32	EveryonesUncle	12
34	RobotMinion101	11
35	lorpus	10
36	WyngGoy	8
37	kekhon	7
37	mihimihimihi	7
39	joethahobo	6
39	Powowowow	6
41	Mr_Teddiursa_K	5
42	Iagoku	4
42	Lez_	4
44	EMC_	3
44	rarrq	3
44	Chromary	3
44	HellsSponge	3
48	Swexti	2
48	xxPipperDipperxx	2
48	luseis	2
48	_Karmaa	2
48	non089	2
48	fffMike	2
48	Zoeyfortnite	2
55	Jovaphobic	1
55	ImpavidArcher	1
55	CoffeeNoir	1
55	Mahoose	1
55	beeperbeeper5	1
55	ROY4LE	1
55	Karetoko	1
55	Skylord_Luke	1
55	MyNameIsDakar	1
55	NameGenerat0r	1
55	Blu3beast	1
55	SkateboardR6	1
55	OG_Songsee	1
55	Eraxa	1
55	Kowcio_	1
55	BlankityMcBlank	1
55	ConnorDanky_	1
55	bladeefan2009	1
55	Smoke____	1
