rank	username	minecraft:dropped/minecraft:netherite_ingot
1	EcksD	7175
2	NomadicRobin_	211
3	Hyp3rion_	169
4	thewindmillman	72
5	Kowcio_	67
6	Smoke____	55
7	fw3xywashere	47
8	BlancoFlaco	46
8	Chromary	46
10	eitanzaki	44
11	Alteriity	43
11	RealGroot	43
13	Racengan	39
14	Werbe	35
15	set67	30
16	Lez_	29
17	Smashic	27
18	beeperbeeper5	23
19	CoffeeNoir	22
19	Winklepicker279	22
19	MilleGrug	22
22	F_Uhre	19
23	Skylord_Luke	18
24	TheSecondLord	17
24	kekhon	17
24	Jackattack53	17
27	SmashingPump	16
27	groofles	16
27	ConnorDanky_	16
27	jnp_gaming	16
31	GlitchyPlate810	15
32	PhantomsGhost_	14
33	_Virify_	13
33	gren_ben	13
33	PigDab	13
33	SkateboardR6	13
33	YungMaki	13
38	Frozil20	12
38	Kkanot	12
38	noam464	12
38	zToasty69z	12
38	gusstationwerker	12
43	T045RTY	11
43	Huwulling	11
43	TheDankPlatypus	11
46	NatalieTW	10
46	Nicky_H225	10
46	Xalithia	10
46	gabriels543	10
46	xolstoi	10
51	joethahobo	9
51	luseis	9
51	MightyWertu	9
51	lordpipe	9
51	RadarHz	9
56	rarrq	8
56	Inchef	8
56	Fuad_R	8
56	mihimihimihi	8
60	ITDV	7
60	lillips	7
60	jake314810	7
60	TheOuterCore	7
64	FazeObama69	6
64	CadenSteele	6
64	NinjaKnifeKill	6
64	jacxhadow	6
64	ROY4LE	6
64	CollinMH06	6
64	CheesyToess	6
64	LAVA129	6
64	Afinnity	6
64	ZA07	6
64	Syropatathe	6
64	monky_irl	6
76	livingdaydreams	5
76	lorpus	5
76	AlexxO_o	5
76	Elastiq	5
76	ReSynced	5
76	EveryonesUncle	5
76	RoofTyler	5
76	SammiWolfGirl	5
76	Ezekson	5
85	burbankbuilder28	4
85	fxiryglitch	4
85	obzii	4
85	CalebDHawk	4
85	alderban107	4
85	Iamthejo	4
91	bigstankyy	3
91	Esme_1	3
91	Hpdinosaur	3
91	SquadMonster	3
91	Akoot_	3
91	djancak	3
91	Erased_Identity	3
98	teslawolf38	2
98	hm947	2
98	Wooptey	2
98	Blackberry1310	2
98	FishyBoy3811	2
98	lizardfightclub	2
98	501g	2
98	TheEnderMan548	2
98	SvenskaHugo	2
98	Skippeh	2
98	PlasticOtari	2
109	soundad	1
109	6king6colt6	1
109	Crowman1	1
109	500am	1
109	Yirtle	1
109	mwrty	1
109	KGTV	1
109	gcaisawesome	1
109	r123moore	1
109	Mobstr	1
109	Marbz_	1
109	GamingStyle325	1
109	LeGold	1
109	SaintJosie	1
109	___James____	1
109	MyNameIsDakar	1
109	DarlaMeow	1
109	Aoiraa	1
109	FreakGenius	1
109	Blaiku	1
109	Airem_Core	1
109	AssFullaCum	1
109	Siguy__	1
109	Soplight	1
109	anbbang	1
109	bladeefan2009	1
