rank	username	minecraft:dropped/minecraft:turtle_helmet
1	Hyp3rion_	67
2	Racengan	48
3	kekhon	32
4	Yamdalorian	14
5	Mahoose	11
5	HellsSponge	11
7	luseis	9
8	Quotary	8
8	TechnoNinja64	8
10	eitanzaki	7
10	SteveCraftBlocks	7
10	Blu3beast	7
13	ImpavidArcher	6
13	Akoot_	6
13	ConnorDanky_	6
16	jnp_gaming	5
17	beeperbeeper5	4
17	jcool7	4
19	Ninzyyy	3
19	rarrq	3
19	Blackberry1310	3
19	goldyx	3
19	Blamphe	3
19	NameGenerat0r	3
19	fluddd	3
19	Kowcio_	3
27	pintsizedrogue	2
27	Frozil20	2
27	77Holly7	2
27	joethahobo	2
27	500am	2
27	excelsionprime	2
27	MeanTugger	2
27	NomadicRobin_	2
27	Tyrannosplart	2
27	DarlaMeow	2
27	Eraxa	2
27	SammiWolfGirl	2
27	Enderxz3	2
27	Powowowow	2
27	skitzxo	2
42	Groovy_MoonBird	1
42	Apollo_993	1
42	dragonsleger	1
42	Minimize501	1
42	ewsophie	1
42	Alteriity	1
42	Huwulling	1
42	titanlax	1
42	Saucepeh	1
42	Cryptacity	1
42	Nicky_H225	1
42	ROY4LE	1
42	legal_tax_evader	1
42	Di_infiri	1
42	Arceus1975	1
42	GreedyFern8581	1
42	Bumpy419	1
42	Hiryu27	1
42	oscminus	1
42	Werbe	1
42	The11thDoctor	1
42	RobotMinion101	1
42	Huic_ostiarius	1
42	Gryglu583	1
42	fkGrim	1
42	Shogunite	1
42	claivin	1
42	Gus2005	1
42	__Auspicious	1
42	MovingFish7	1
42	lordpipe	1
42	monky_irl	1
42	_Mythic____	1
42	YungMaki	1
42	Kyrum2169	1
42	djancak	1
42	__tomato	1
42	LeEricc	1
42	Moetis	1
42	Drawgirl	1
42	KingMatthew506	1
42	elliebelle107	1
42	Kubeusz2010	1
42	Skippeh	1
42	cichy096	1
42	Jimb0nat0r	1
42	PlasticOtari	1
42	annebolyn	1
42	Zoeyfortnite	1
