rank	username	minecraft:dropped/minecraft:spruce_slab
1	catandmoose	7416
2	Ezekson	2371
3	k_ce	1394
4	Kowcio_	983
5	PigDab	747
6	Merv__	727
7	beeperbeeper5	568
8	rarrq	567
9	Segotep999	538
10	RobotMinion101	425
11	H0UNDFRMH3LL	392
11	luseis	392
13	Soplight	386
14	KingMatthew506	378
15	Jonte0599	354
16	Saucepeh	353
17	kekhon	349
18	Xclax101	337
19	Lez_	315
20	fkGrim	295
21	pintsizedrogue	291
22	noam464	285
23	eitanzaki	283
24	Lord_Jord	256
25	Uzbeki_John	255
26	SvenskaHugo	253
27	Manaateee	251
28	PazinGaming	241
29	Groovy_MoonBird	236
30	TheSecondLord	235
31	Blu3beast	232
32	Sleek_Storm_721	229
33	Hyp3rion_	216
33	HolyVenom	216
35	Fullut	212
35	Jackattack53	212
37	Eraxa	206
38	EMC_	201
39	Wowful	192
40	Zoeyfortnite	185
41	Comma__	178
42	ECstardust	175
43	Rebytre	174
43	MovingFish7	174
45	Hermanni__	157
46	AdmiralSmoke	148
47	diamondgolem35	141
48	EveryonesUncle	134
49	500am	131
50	lunathelemon	129
51	thescout7	127
51	mihimihimihi	127
53	redikul	124
54	_Huge_Male_	123
55	w3nd3lbo3	119
56	EcksD	117
57	bigstankyy	114
58	Frozil20	108
58	_Dean_123	108
60	ratglock	107
61	hm947	105
62	Blackberry1310	102
63	CarryLine	100
64	Racengan	98
65	fluddd	95
66	Alteriity	93
67	Cowison	87
67	Shogunite	87
69	pappaberg	86
69	_Karmaa	86
69	Spacewardharpy7	86
72	Natty	84
73	yaboo88	81
74	Incinere	80
75	BlancoFlaco	78
76	Akoot_	77
77	Ssor69	75
78	Mahoose	74
79	SkateboardR6	70
80	fw3xy74	68
80	SpacesickPrism	68
82	Tommhh	67
83	stellarjay	66
83	laron58	66
85	LexMakesHistory	65
86	Marbz_	64
86	Quotary	64
88	joethahobo	61
88	ewpunk	61
88	LazySupport00	61
91	NotKaden_	60
91	Slapface522	60
93	BlueZabu	57
94	Luminad3	55
95	ewsophie	54
95	ConnorDanky_	54
97	NieToksikpl	53
98	Soap_Bender	52
99	Arceus1975	51
100	SmashingPump	50
100	Skylord_Luke	50
102	sammidk	45
103	groofles	43
103	Dakar_	43
103	Groundler	43
106	set67	42
106	prizm_	42
106	zToasty69z	42
109	Smashic	40
109	Onennon	40
111	diggydog67	39
112	ImpavidArcher	38
113	IforgotCS_Source	37
114	Masssonnn	36
114	oscminus	36
114	claivin	36
114	Blaiku	36
114	UCP_TheKingK	36
114	VentiHilton	36
120	Inchef	35
121	Zlatovlas	34
121	Chromary	34
121	jcool7	34
124	Bumpy419	33
125	Werbe	32
125	MandenR1	32
127	Ao_Ken	30
127	ARandomHedge	30
127	JoCoLi	30
130	Rumpletaezer	29
130	Jimi7hits	29
130	Tyrannosplart	29
130	The_slideV3	29
134	TooManyDuck	28
134	Eerini	28
134	annoyingenderman	28
137	LeEricc	27
138	lcvezra	26
139	Kakolbus	25
139	HyperCave	25
139	Steelynan	25
142	xzvu	24
143	Killercatty78	23
143	gaziter10	23
143	Di_infiri	23
146	Kkanot	22
146	lorpus	22
148	Wooptey	21
148	ScootOfBoot	21
148	weabis	21
148	bndo	21
148	PortlyPete69	21
148	obzii	21
148	Skippeh	21
155	_8man	20
155	Mattesco	20
155	WYFYoyo	20
158	thewindmillman	19
158	ApophisNova	19
158	DarlaMeow	19
158	MyNamaSheff	19
162	fr_ser	18
162	BartekB19	18
164	SteveCraftBlocks	17
164	Luigipunch989	17
166	RebelAndroid	16
166	Base_Tempest	16
166	Swexti	16
166	JETrotter	16
166	StarCookiees_	16
166	Nicserso	16
172	fr0stss	15
172	Historical_Sand	15
172	UncreativeArtist	15
172	AvaRosey	15
176	livingdaydreams	14
177	burbankbuilder28	13
177	lordpipe	13
179	SaltineDream	12
179	okCrypto	12
179	GreedyFern8581	12
179	0Vyp_	12
179	sufjanlover	12
179	iSammael	12
179	yatsuta	12
179	FGamerJ	12
179	Enderxz3	12
188	MrKrabOnCoke	11
188	wrgates99	11
188	Burge_r	11
188	TheOuterCore	11
188	JustinRee	11
193	Agent108	10
193	MinuteMira	10
193	OG_Songsee	10
193	SammiWolfGirl	10
197	surfinggiraffejp	9
197	ItsMrRamen	9
197	KlausVonStiglitz	9
197	Fuad_R	9
197	Kyrum2169	9
197	Chuglyfe	9
197	trexgb	9
204	H72l9w	8
204	SquadMonster	8
204	imcombxt	8
204	John6970	8
204	privatemeekly	8
204	MakeHistory157	8
204	Optiprimus	8
204	Fizznut909	8
204	BreadBacon	8
204	little_dUki	8
204	2blox_	8
204	TechnoNinja64	8
204	xolstoi	8
217	Mr_Byzantine	7
217	I_Am_Mushkin	7
217	T045RTY	7
217	Crasswolf	7
217	Nyxiom_	7
217	Winston_Ingram	7
217	anbbang	7
217	WinterYoke	7
225	q_wq	6
225	jimintyy	6
225	Crowman1	6
225	CliffEmAll	6
225	Cryptacity	6
225	Pelbo	6
225	Muffindrake	6
225	selectrix	6
225	brofrickcheaters	6
225	NATE_the_HALO	6
225	monolu	6
225	Mr_Teddiursa_K	6
237	Tolhart	5
237	ThePoliteG	5
237	12Magner05	5
237	mwrty	5
237	KingEgg1	5
237	PeteO1995	5
237	IamCL4SSY	5
237	NoChumpChange	5
237	EfficientC52	5
237	Bonzaidalek	5
237	CalebDHawk	5
237	alderban107	5
237	PlasticOtari	5
237	Biites	5
251	PhantomsGhost_	4
251	dabloons	4
251	tuckerdoodle	4
251	Dblikstad	4
251	Ravenbie	4
251	MinttyFressh	4
251	shadowthemonkey	4
251	MyNameIsJobo	4
251	hanaryheatwave	4
251	Kim_Jong_eel	4
251	lillips	4
251	Quaintster	4
251	El_Jalapeno	4
251	yoyoYoloMonke	4
251	Typadopoulos	4
251	skrongus	4
267	squigglybones	3
267	SlavBylat	3
267	ITDV	3
267	MattieHD	3
267	KGTV	3
267	intropass	3
267	Xalithia	3
267	SellyZ	3
267	benediktine1	3
267	TheDankPlatypus	3
267	Zythose	3
267	impossibleteapot	3
267	_Cloverbelle_	3
267	Lord_Zacler	3
267	Syropatathe	3
267	DarkS0L	3
267	NameGenerat0r	3
267	ReflexCode	3
267	Jjackoe	3
267	33sudo	3
267	MilleGrug	3
267	UrbanPlanningEx	3
267	Jimb0nat0r	3
290	rats_life	2
290	seanitoo	2
290	Bandito_Roamer	2
290	_Virify_	2
290	heysushii	2
290	YairZaki	2
290	Shazzyling	2
290	TinMaster	2
290	dopplexd	2
290	ProfessorBee	2
290	Guillemet	2
