rank	username	minecraft:dropped/minecraft:cherry_planks
1	Kowcio_	213
2	skitzxo	211
3	StarCookiees_	207
4	PazinGaming	117
5	ECstardust	89
6	k_ce	68
7	KarlKaek	44
7	Lez_	44
9	Jackattack53	36
10	pretty_pink_reno	32
11	robonya_	30
12	noam464	28
13	TheSecondLord	16
14	Hyp3rion_	12
15	Mattesco	10
15	DairyNickel756	10
17	Werbe	8
17	00000000-0000-0000-0009-01fe065167f0	8
19	beeperbeeper5	5
19	royal_2	5
21	MattieHD	4
21	bl1ss0	4
21	emreknugrlu	4
24	Archsam	3
25	Fullbit_	2
25	Mr_Froxy	2
25	Mikael_Kuningas	2
28	_Huge_Male_	1
28	myaccountwasgone	1
28	Dynamic_wolf_1	1
28	Manaateee	1
