rank	username	minecraft:dropped/minecraft:amethyst_cluster
1	thewindmillman	2693
2	ImpavidArcher	128
3	500am	65
4	PlasticOtari	64
5	Smashic	55
6	GlitchyPlate810	41
7	Hyp3rion_	36
8	lordpipe	34
9	fw3xywashere	20
10	beeperbeeper5	10
11	Mahoose	9
12	EcksD	8
13	MilleGrug	5
14	CheifJumbo	4
15	diamondgolem35	3
15	Winklepicker279	3
15	Joestra	3
15	Smoke____	3
19	pintsizedrogue	2
19	Spacewardharpy7	2
21	MSK__	1
21	Khelvoryk	1
21	Masssonnn	1
21	Rebytre	1
21	NomadicRobin_	1
21	MinuteMira	1
21	Kowcio_	1
21	TheOuterCore	1
21	2blox	1
