rank	username	minecraft:dropped/minecraft:smooth_sandstone_slab
1	emreknugrlu	922
2	SvenskaHugo	303
3	Blaiku	179
4	eitanzaki	158
5	noam464	146
6	Franco093	126
7	WarMachina	102
8	ooga47	73
9	2Stout	71
10	Frozil20	69
10	kekhon	69
12	Steelynan	55
13	Merv__	45
14	Saucepeh	36
15	TechnoNinja64	32
16	WyngGoy	25
17	Mahoose	23
18	TheDankPlatypus	20
19	AltnumberF4	16
19	skitzxo	16
21	gcaisawesome	14
21	NameGenerat0r	14
23	goldyx	12
24	WET_WET_WET	9
24	MrShojo	9
26	RebelAndroid	8
26	Fullut	8
26	FreakGenius	8
26	Segotep999	8
30	Secret_Canary	7
31	lordpipe	6
31	Kowcio_	6
31	xzvu	6
34	Onennon	5
34	Manaateee	5
36	Sleepy_Time_	4
36	lordsaladito	4
36	Skylord_Luke	4
36	That_tech_head	4
36	Blu3beast	4
41	beeperbeeper5	3
41	Blackberry1310	3
41	John6970	3
41	__tomato	3
41	hermmm_	3
46	ImpavidArcher	2
46	rarrq	2
46	Fuzai	2
46	Karetoko	2
46	FreddyFart	2
46	XxCookiequeenxX	2
46	CalebDHawk	2
46	KamFurnace	2
46	Enderxz3	2
55	pintsizedrogue	1
55	Groovy_MoonBird	1
55	ECstardust	1
55	Vizzoid	1
55	Kakolbus	1
55	Benzito07	1
55	The_Quack_Dealer	1
55	Buuck_	1
