rank	username	minecraft:dropped/minecraft:deepslate_brick_slab
1	thewindmillman	610
2	Masssonnn	604
3	SquadMonster	215
4	Wowful	191
5	Kowcio_	100
6	MrKrabOnCoke	66
7	Skylord_Luke	64
7	mihimihimihi	64
9	beeperbeeper5	42
10	JETrotter	38
11	Lez_	28
12	Mattesco	19
13	Fuad_R	16
14	Pineapplesugr	8
15	luseis	7
16	k_ce	6
16	ScootOfBoot	6
16	Manaateee	6
19	Touched_Bread	4
19	AdmiralSmoke	4
21	12Magner05	2
21	500am	2
21	Elastiq	2
21	MAns_44	2
21	FreakGenius	2
26	olliebollie48	1
26	Jackattack53	1
26	Hyp3rion_	1
26	LeonelSalamanca	1
