rank	username	minecraft:dropped/minecraft:sea_pickle
1	Hyp3rion_	1757
2	eitanzaki	767
3	Di_infiri	545
4	ConnorDanky_	511
5	noam464	461
6	thewindmillman	297
7	emreknugrlu	236
8	XboxPanda	214
9	MovingFish7	210
10	FreakGenius	145
11	Jackattack53	140
12	Ezekson	129
13	hanaryheatwave	128
13	HellsSponge	128
15	Lez_	118
15	Onennon	118
17	seramalen	112
18	Groundler	101
19	Blaiku	99
20	Blackberry1310	94
21	annebolyn	89
22	ImpavidArcher	81
22	Nicserso	81
24	Mahoose	73
25	PazinGaming	68
26	DarkLawD	66
27	Kukkelikuk	64
28	ECstardust	60
29	The_slideV3	58
30	Eraxa	50
31	_Mythic____	48
32	Frozil20	47
33	crashomon	43
34	KingMatthew506	36
35	yoyoYoloMonke	34
36	SaucyDark	33
36	lordpipe	33
36	Skippeh	33
39	Smashic	32
40	AspenLightVT	27
40	WYFYoyo	27
42	mwrty	26
43	MrExplorer	24
43	Sral7	24
45	FishisTTV	23
46	joethahobo	22
46	Arceus1975	22
48	beeperbeeper5	21
48	Wowful	21
50	EveryonesUncle	18
51	Nicky19	16
52	KarlKaek	15
52	burbankbuilder28	15
54	TheSecondLord	14
55	Groovy_MoonBird	13
55	FishyBoy3811	13
55	lizardfightclub	13
55	Xclax101	13
59	Akoot_	12
59	Inbefour	12
59	Vorlice	12
62	Leyna3	11
62	fluddd	11
64	Spacewardharpy7	10
65	Fullut	9
65	Mattesco	9
67	myaccountwasgone	8
67	FirsTimeGamingTV	8
67	platinumzero	8
67	Blu3beast	8
67	YungMaki	8
67	Jimb0nat0r	8
67	Yamdalorian	8
74	ProfessorBee	7
74	thescout7	7
74	Eerini	7
74	Spenduh	7
78	q_wq	6
78	Nach0Bear	6
78	mihimihimihi	6
78	Enderxz3	6
82	TildaAndrea	5
82	_Nuf	5
82	Paintz	5
82	fr_ser	5
82	fragrantmonke444	5
82	fkGrim	5
82	1442	5
82	jnp_gaming	5
82	TechnoNinja64	5
91	SKYPEX_	4
91	LovelyDane	4
91	rarrq	4
91	Secret_Canary	4
91	i2f8x4h8ro	4
91	Tmb1	4
91	SuperPooch06	4
91	Donutt	4
91	FreddyFart	4
91	Mweems	4
91	Meatlaugh	4
91	DarlaMeow	4
91	WyngGoy	4
91	Zetsey	4
91	ZeroKraken	4
106	ShedJr_	3
106	heckface	3
106	bloodbiter	3
106	12Magner05	3
106	Kkanot	3
106	Werbe	3
106	F_Uhre	3
106	LittleOoccoo	3
106	Maenara	3
106	EdGalbraith	3
106	jambvds	3
106	Tyrannosplart	3
118	_Virify_	2
118	T045RTY	2
118	Rox_The_Box	2
118	500am	2
118	AJplaysMC_	2
118	Sheellky	2
118	ApophisNova	2
118	txxskx	2
118	AlphaWolfPlaysMC	2
118	audiocracked	2
118	XxCookiequeenxX	2
118	Toriankel	2
118	SammiWolfGirl	2
118	Njensen7	2
118	MyNamaSheff	2
133	pintsizedrogue	1
133	Houstonion	1
133	_AceOfSpace_	1
133	Ssor69	1
133	Saucepeh	1
133	ratglock	1
133	eviltunix	1
133	mimbo1211	1
133	bl1ss0	1
133	Jonafrog99	1
133	Ryanix	1
133	Silvo614	1
133	Bumpy419	1
133	RebytreGT	1
133	Skylord_Luke	1
133	The11thDoctor	1
133	ooga47	1
133	Kouridragon	1
133	sitrollover	1
133	KliBeast21	1
133	xDraggin	1
133	NomadicRobin_	1
133	luseis	1
133	Manaateee	1
133	Shogunite	1
133	El_Jalapeno	1
133	Kura2218	1
133	MrShojo	1
133	somegirl12_	1
133	stellarjay	1
133	PortlyPete69	1
133	Sheldor097	1
133	elliebelle107	1
133	vandmanden	1
133	Zoeyfortnite	1
133	Yahrto	1
