rank	username	minecraft:dropped/minecraft:smooth_quartz_slab
1	Hyp3rion_	7871
2	SoosAmongus	6049
3	noam464	1280
4	Jackattack53	638
5	eitanzaki	453
6	lillips	383
7	Blaiku	266
8	AlexxO_o	256
9	beeperbeeper5	141
10	ImpavidArcher	130
11	EcksD	75
12	Huwulling	61
13	jnp_gaming	57
14	PigDab	47
15	NameGenerat0r	45
16	Di_infiri	42
16	fluddd	42
18	Lez_	38
19	Marbz_	31
20	EMC_	30
21	Frozil20	29
22	The_slideV3	26
23	lordpipe	23
24	luseis	16
25	EveryonesUncle	15
26	AltnumberF4	14
27	Spacewardharpy7	13
28	Manaateee	10
28	Ezekson	10
30	Fullut	8
31	_Mythic____	7
32	Touched_Bread	5
33	kekhon	4
33	_Karmaa	4
33	MightyWertu	4
33	MakeHistory157	4
33	YungMaki	4
38	thewindmillman	3
38	Jimb0nat0r	3
40	excelsionprime	2
40	NotMeanttoChange	2
40	M_Patata	2
40	lizardfightclub	2
40	MasterNueve	2
40	Kowcio_	2
46	_Huge_Male_	1
46	SyntheticSurgeon	1
46	TheSecondLord	1
46	Comma__	1
46	catandmoose	1
46	r123moore	1
46	SuperPooch06	1
46	Zythose	1
46	Skylord_Luke	1
46	The_Cruncy	1
46	FishyBoy3811	1
46	Luminad3	1
46	Fuad_R	1
46	Deerfoot	1
46	wwwwinnebagoooo	1
