rank	username	minecraft:dropped/minecraft:snowball
1	Skylord_Luke	2748
2	Spacewardharpy7	2094
3	eitanzaki	1987
4	beeperbeeper5	1927
5	Ezekson	1358
6	12Magner05	1332
7	lizardfightclub	1328
8	Di_infiri	1277
9	kekhon	1099
10	purpolepickle	1025
11	jcool7	976
12	Arceus1975	969
13	Sral7	942
14	EcksD	890
15	Spenduh	819
16	noam464	790
17	MinttyFressh	784
18	1442	752
19	Smoke____	727
20	FelixPSY375	663
21	mwrty	645
22	El_Jalapeno	618
23	DermeinUser	570
24	Blackberry1310	554
25	Skippeh	550
26	gcaisawesome	482
27	TheSecondLord	478
28	TechnoNinja64	460
29	thewindmillman	439
30	Mahoose	434
31	Frozil12	408
32	rarrq	357
33	h2p_emrld	356
34	xof_on_microwave	317
35	Fullut	310
36	Enigma0251	302
37	Healthing	292
38	PortlyPete69	286
39	Kamflame10	283
40	TTNG	278
41	_Razar	270
42	RedcatVII	260
43	diamondgolem35	254
44	censorsheep	247
45	Ardennes	244
46	Laykon	234
47	lcvezra	227
48	Drlzyy	222
48	_Dean_123	222
50	MAns_44	221
51	EcksDofficial	219
52	Drawgirll	214
53	chipklip	202
54	kinas45y5	201
55	PhantomsGhost_	194
56	Kubelz	192
57	Blu3beast	188
58	MeetTheWollo	182
59	Eraxa	181
60	Lord_Jord	175
60	Ze_BaronKrigler	175
62	HellsSponge	174
63	trexgb	172
64	SuperPooch06	171
65	EfficientC52	170
66	Khelvoryk	164
67	burbankbuilder28	161
68	Harotio	160
68	MOSS000	160
70	wezzzi	159
71	Guillemet	155
72	6king6colt6	153
73	Onennon	148
74	Strangemonkey71	141
74	PlasticOtari	141
76	heysushii	138
77	Legendosh	136
78	set67	132
79	_schi	131
80	RebelAndroid	130
81	Umbreon900	128
82	Winklepicker279	125
83	TheBiggestFeller	122
84	QueenOfDirt	120
85	Shogunite	115
86	ogoa	113
86	TheOuterCore	113
88	IforgotCS_Source	111
89	joethahobo	108
90	lordpipe	107
91	teslawolf38	103
92	Freak_Genius	100
93	Akoot_	98
93	YungMaki	98
95	m_be9	95
96	lillips	92
97	Hail_the_wombat	89
98	CyrusIsTired	88
98	Jonte0599	88
100	bloodbiter	87
101	thescout7	86
101	Armattillo	86
101	Segotep999	86
104	fkGrim	85
105	Razzgriz	83
105	Kyrum2169	83
105	ProbsNotNova	83
108	Comma__	81
108	Sky_light_KING	81
110	oxfordschool	78
111	Dreamdbr14	76
112	XboxPanda	74
112	_8man	74
114	FirsTimeGamingTV	72
114	Inchef	72
114	Rocco_Lane	72
117	Groundler	69
118	fr_ser	67
118	SammiWolfGirl	67
120	Deathkob	64
121	Natty	63
122	FennYuzuna	62
123	Cocoamallows	61
124	Warlord324	59
125	AshleeCW	58
125	JESS_THE_RERE	58
125	BreadBacon	58
128	SSytex_X	57
129	Blaiku	56
130	Historical_Sand	55
130	CruncyIsTaken	55
130	sammidk	55
133	jnp_gaming	53
134	TheShyPig	52
134	RodSerlingCringe	52
136	Deguns123	50
137	Cowison	49
138	Rich_Kat	48
138	UncleDanDan	48
138	Xclax101	48
141	hm947	47
141	Zlatovlas	47
141	Smiguli_	47
141	WyngGoy	47
145	500am	44
145	sandmire	44
145	Rasmanden	44
148	Dedalus36	42
149	q_wq	41
149	The11thDoctor	41
149	FishyBoy3811	41
152	MattieHD	40
152	Kkanot	40
152	ConJaBz	40
155	ImpavidArcher	39
156	Xalithia	38
157	masskedman	37
157	_TCARREIRA_	37
159	mobunni	36
159	Miko_Fullbuster	36
161	PigDab	35
162	benediktine1	34
163	Dusk_95	33
164	CoffeeNoir	32
164	BreadFruggis	32
164	_Boipl_	32
164	m9_meltdown_	32
164	YoshikageBites	32
169	chimpmunker	31
169	CollinMH06	31
169	scarletwarrior1	31
172	KevinLikesPie	30
173	DepressedCubic	28
174	eviltunix	27
175	AuroraValkyrie	26
176	Hyp3rion_	25
176	Mattesco	25
176	Sqwishy	25
179	Crowvens	24
179	bigstankyy	24
179	Lukeee33	24
179	_Minnty_	24
179	Jiminie	24
179	DarlaMeow	24
185	SteveCraftBlocks	23
185	Optiprimus	23
185	sebastiensaborio	23
188	BlueZabu	21
188	lolpoottoot	21
190	_Virify_	20
190	Tolhart	20
190	Frozt99	20
190	ccwildfire1	20
194	EMC_	19
194	shyshyannne	19
194	eiC_	19
194	gabriels543	19
194	Choco_Spy	19
194	PlzNoBM	19
194	Haadrada	19
201	Sabby65	18
201	Myszoaz	18
201	StanceTB	18
201	KG1999	18
205	Bandito_Roamer	17
205	dabloons	17
205	SullivanNephew	17
205	LordSpeed37	17
209	Groovy_MoonBird	16
209	Begformurrcy	16
209	Hpdinosaur	16
209	Alphanzt99	16
209	Dragonfest	16
209	ciemacigans	16
209	mariominejedi	16
209	Hiryu27	16
209	BRRRN179	16
209	HolyVenom	16
209	Toasty_Tom	16
209	NomadicRobin_	16
209	alddd	16
209	MovingFish7	16
209	layabout100	16
209	Kukkelikuk	16
209	plato2066	16
209	CLUBN2	16
209	Soplight	16
209	Devouching	16
209	Enderslayerxz3	16
230	T045RTY	15
230	ImDisconnected_	15
230	HAIRYCLOUD626	15
230	00000000-0000-0000-0009-01f898304150	15
234	I_Am_Mushkin	14
234	Flapjacker687	14
236	MSK__	13
236	ProfessorBee	13
236	Tmb1	13
236	Covalents	13
236	Winston_Ingram	13
241	MrExplorer	12
241	Bloo2406	12
241	Vegvisir	12
241	SirBreadward	12
245	Zythose	11
245	Kynigito	11
247	AgressiveEggdog	10
247	SteveWithClout	10
247	Bumpy419	10
247	KeruNatsema	10
247	Jiminbub	10
252	jspwn	9
252	CrateOfBoxes	9
252	Jimi7hits	9
252	BuildTheGondola	9
256	xyct	8
256	Jackattack53	8
256	BlueWyvern5170	8
256	TheGameArchitect	8
256	UrbanPlanner1978	8
261	SaucyDark	7
261	Nicky_H225	7
261	NameGenerat0r	7
261	Chaotic1s	7
261	stahouo	7
261	smogfrog	7
267	lewieinnit	6
267	intropass	6
267	Rumpletaezer	6
267	Leyna3	6
267	NoChumpChange	6
267	Hermanni__	6
267	alderban107	6
267	JasmineGK	6
267	vandmanden	6
276	Truckoss	5
276	Nicserso	5
278	JEWISHBadenBeele	4
278	tramizu	4
278	Scattman_	4
278	ROY4LE	4
278	LitoDelvito	4
278	yulgur1	4
278	audiocracked	4
278	SpouHn	4
278	__tomato	4
287	RoskobiOne	3
287	Commander_Ange	3
287	jewbacaman	3
287	Wowful	3
287	TheSeismicDuck	3
287	Soap_Bender	3
287	BigCronkin	3
287	Nycteus_	3
287	Racengan	3
287	starbits140	3
287	Moetis	3
