rank	username	minecraft:dropped/minecraft:sea_lantern
1	Ezekson	31099
2	noam464	17294
3	EcksD	15113
4	eitanzaki	5330
5	thewindmillman	3777
6	Blaiku	2239
7	HellsSponge	1595
8	Frozil12	1275
9	Axemurdermike	1152
10	Snowflowe	907
11	oxfordschool	828
12	Hyp3rion_	760
13	ImpavidArcher	639
14	PigDab	603
15	Blu3beast	532
16	Smoke____	511
17	Freak_Genius	435
18	Spenduh	400
19	Mahoose	396
20	beeperbeeper5	387
21	thescout7	366
22	YungMaki	354
23	lordpipe	317
24	Onennon	313
25	lillips	279
26	MattieHD	258
27	Kakolbus	256
28	emrekn	238
28	Di_infiri	238
30	2Stout	230
31	pintsizedrogue	225
32	Soap_Bender	195
33	Enderslayerxz3	194
34	Quotary	193
34	jnp_gaming	193
36	joethahobo	192
37	Werbe	184
37	AssEatrAndLicker	184
39	Racengan	181
40	rarrq	169
41	NotTrixi	146
42	Blackberry1310	133
43	AuroraValkyrie	128
44	Groundler	110
45	PhantomsGhost_	106
46	MakeHistory157	96
47	KG1999	86
48	VentiHilton	82
49	diamondgolem35	78
50	Bumpy419	77
51	XboxPanda	76
52	Quaintster	73
52	CalebDHawk	73
54	jcool7	71
55	kekhon	68
55	MightyWertu	68
57	_Dean_123	67
58	ProfessorBee	65
58	Kowcio_	65
58	brofrickcheaters	65
61	Aspagisum	64
61	teslawolf38	64
61	WET_WET_WET	64
61	wTXop	64
61	Rocco_Lane	64
61	chipklip	64
61	fluddd	64
61	sadvavilloso	64
61	LeeMcGee30	64
61	Nicserso	64
61	vandmanden	64
72	Iagoku	62
73	Arceus1975	61
73	sigmabich	61
75	TheTrueClipse	50
76	SuperPooch06	49
77	gcaisawesome	48
78	FishyBoy3811	47
79	NameGenerat0r	45
80	set67	43
80	ElKaySVK	43
82	500am	39
82	Shogunite	39
84	T045RTY	37
85	stellarjay	36
86	Xclax101	34
87	EveryonesUncle	33
87	EcksDofficial	33
89	ogoa	32
89	_Karmaa	32
91	Breb74	25
92	egglapras	24
93	Spacewardharpy7	23
94	TheSecondLord	22
95	__tomato	21
96	Myszoaz	18
96	Zythose	18
96	Eraxa	18
99	Incinere	15
99	Zoeyfortnite	15
101	WyngGoy	12
102	stavgod	11
103	Groovy_MoonBird	10
103	Fullut	10
103	Nagasaki_Riku	10
106	ROY4LE	9
107	TheDankPlatypus	8
107	Chromary	8
107	Maenara	8
107	QueenShuvi	8
107	KingMatthew506	8
112	I_Am_Mushkin	6
112	ShedJr_	6
112	Jackattack53	6
112	claivin	6
116	TheMaster972	5
117	ratglock	4
117	gabriels543	4
117	seramalen	4
117	SkateboardR6	4
117	Nekomin0	4
122	Drlzyy	3
122	12Magner05	3
122	mariominejedi	3
122	CarltheCuck	3
122	Hoid_the_Roamer	3
122	OtariCharlie	3
122	Akoot_	3
122	Factoroni	3
122	Dogcorn69420	3
131	jimintyy	2
131	Historical_Sand	2
131	gaziter10	2
131	CliffEmAll	2
131	YungJakobo	2
131	G1ldor	2
131	r123moore	2
131	Paintz	2
131	M_Patata	2
131	killmeiamtraitor	2
131	Lord_Jord	2
131	The_slideV3	2
131	Nycteus_	2
131	MasterNueve	2
131	SammiWolfGirl	2
131	ItsJunoIGuess	2
131	sebastiensaborio	2
148	MunkaKris	1
148	Merv__	1
148	wickedword	1
148	CoffeeNoir	1
148	Swexti	1
148	Ssor69	1
148	Comma__	1
148	Awyrlas	1
148	DC_XII	1
148	Leyna3	1
148	fkGrim	1
148	Quincannon	1
148	ProfessorDiaper	1
148	Hisiste	1
148	MovingFish7	1
148	IAmTheWalrus910	1
148	djancak	1
148	obzii	1
148	alderban107	1
148	Kubeusz2010	1
148	Skippeh	1
148	Powowowow	1
148	kinas45y5	1
148	YoshikageBites	1
