rank	username	minecraft:dropped/minecraft:book
1	500am	3847
2	FreakGenius	1525
3	TechnoNinja64	1424
4	kekhon	1168
5	Ezekson	772
6	beeperbeeper5	635
7	HellsSponge	587
8	Tyrannosplart	554
9	noam464	547
10	Akoot_	475
11	Awyrlas	442
12	Hyp3rion_	296
13	k1ngGilgamesh	256
14	PigDab	245
15	Quaintster	225
16	Enderxz3	208
17	Zaridey	193
18	Blu3beast	181
19	Luigipunch989	174
20	mariominejedi	173
21	eitanzaki	172
21	YungMaki	172
23	Iagoku	170
24	xDraggin	168
25	Blackberry1310	160
26	lordpipe	153
27	Rebytre	138
28	xzvu	130
29	Hiryu27	129
30	SteveCraftBlocks	124
31	Blaiku	120
32	lcvezra	112
33	luseis	110
34	Mahoose	98
34	joethahobo	98
36	SaucyDark	94
37	ProfessorBee	89
38	Lez_	87
39	KingMatthew506	80
40	__tomato	79
41	Spacewardharpy7	75
42	EveryonesUncle	73
43	Cocoamallows	71
44	Kowcio_	70
45	PlasticOtari	68
46	youhjjhhhjj	65
47	Racengan	64
47	gusstationwerker	64
49	thewindmillman	63
49	fffMike	63
51	Jackattack53	61
52	NomadicRobin_	60
52	ConnorDanky_	60
54	Smashic	59
55	fluddd	57
56	Hermanni__	53
57	Inbefour	51
58	SmashingPump	48
58	fw3xywashere	48
58	Earlesstrain4	48
61	jewbacaman	47
62	MightyWertu	44
62	Kyrum2169	44
64	T045RTY	43
65	diamondgolem35	42
65	rarrq	42
65	claivin	42
65	MovingFish7	42
69	livingdaydreams	41
69	Voxin2K	41
69	Nicserso	41
72	byFlixxx	39
72	Sheldor097	39
74	Xclax101	38
75	Luminad3	37
76	Groovy_MoonBird	36
76	trixterrx	36
76	anbbang	36
79	InfernalMound	34
79	ApophisNova	34
79	MyNamaSheff	34
82	OffWithTheirHead	33
82	33sudo	33
82	Smoke____	33
85	Maenara	32
86	Soplight	31
87	Zythose	30
87	RadarHz	30
89	Rich_Kat	29
89	EcksD	29
91	Hisiste	28
92	I_Am_Mushkin	26
92	stavgod	26
92	diggydog67	26
95	ProbsNotNova	25
95	Dogcorn69420	25
97	silverpopcorn	24
98	NameGenerat0r	23
98	Zoeyfortnite	23
100	mwrty	22
101	Huwulling	21
101	Arceus1975	21
103	Da_Boss_Rani	20
103	Auseawesome	20
103	IamCL4SSY	20
106	Kkanot	19
106	Onennon	19
106	PlzNoBM	19
109	RebelAndroid	18
109	xxPipperDipperxx	18
109	SaintJosie	18
109	Jij0	18
113	AuroraValkyrie	17
114	pintsizedrogue	15
114	Cowison	15
114	Swexti	15
114	Inchef	15
118	bigstankyy	14
118	Groundler	14
118	MissCeleste7	14
121	SyntheticSurgeon	13
121	Frxnkz	13
121	Yahrto	13
121	WYFYoyo	13
125	H0UNDFRMH3LL	12
125	Alteriity	12
125	set67	12
125	gabriels543	12
125	binman420	12
125	_Karmaa	12
125	ItzWqlfy	12
125	Vellu21	12
133	BigBootyHudge	11
134	mimbo1211	10
134	burbankbuilder28	10
134	RobotMinion101	10
134	Lord_Jord	10
138	TildaAndrea	9
138	KarlKaek	9
138	hm947	9
138	ratglock	9
138	bloodbiter	9
138	MattieHD	9
138	fallingemma	9
138	ZA07	9
138	JoCoLi	9
138	_TCARREIRA_	9
138	xolstoi	9
149	UncreativeArtist	8
149	Steelynan	8
149	FishisTTV	8
152	ImpavidArcher	7
152	_Dean_123	7
152	John6970	7
152	Werbe	7
152	UrbanPlanningEx	7
157	seanitoo	6
157	JohnnyFyes	6
157	Secret_Canary	6
157	Fuad_R	6
157	MNMann44	6
