rank	username	minecraft:dropped/minecraft:sandstone_stairs
1	xzvu	210
2	RebelAndroid	192
3	TechnoNinja64	132
4	SteveCraftBlocks	131
5	DarlaMeow	126
6	NameGenerat0r	116
7	Frozil20	90
8	Merv__	86
9	noam464	84
10	ImpavidArcher	83
11	lillips	62
12	FreakGenius	52
13	Soplight	47
14	Saucepeh	45
15	EveryonesUncle	44
16	MightyWertu	41
17	Mahoose	38
18	Deodorante	33
19	Dreamdbr14	32
20	_stets	31
21	the__Reaper4999	26
22	rarrq	23
23	kekhon	21
24	Blackberry1310	20
25	beeperbeeper5	19
26	Steelynan	15
27	eitanzaki	14
27	Euclidoris	14
27	ooga47	14
27	_Karmaa	14
31	Hpdinosaur	12
31	fluddd	12
31	AltnumberF4	12
34	John6970	11
35	weabis	9
36	AuroraValkyrie	8
36	youhjjhhhjj	8
38	thewindmillman	7
39	Segotep999	6
40	Groovy_MoonBird	5
40	420BreadLizard	5
42	Ssor69	4
42	_Nuf	4
42	SuperPooch06	4
42	Bumpy419	4
42	TheShyPig	4
42	Wanjibon	4
48	Lord_Jord	3
48	shrimp_flips	3
48	MakeHistory157	3
51	NatalieTW	2
51	KingFaenor	2
51	KarlKaek	2
51	wickedword	2
51	Vizzoid	2
51	Fullut	2
51	Diavri	2
51	Kakolbus	2
51	WarMachina	2
51	Akoot_	2
51	_Bguette_	2
51	lordpipe	2
51	Cocoamallows	2
51	IdeallyGrey	2
51	__tomato	2
66	PhantomsGhost_	1
66	ImNotYuqii	1
66	6king6colt6	1
66	Huwulling	1
66	m_be9	1
66	eviltunix	1
66	2Stout	1
66	NotKaden_	1
66	Di_infiri	1
66	Onennon	1
66	F_Uhre	1
66	Mattesco	1
66	SkyHighSkier	1
66	natajimi	1
66	Blaiku	1
66	WyngGoy	1
66	Sheldor097	1
66	Ezekson	1
66	Zoeyfortnite	1
