rank	username	minecraft:dropped/minecraft:mangrove_roots
1	Touched_Bread	3800
2	AdmiralSmoke	317
3	k_ce	150
4	beeperbeeper5	77
5	Manaateee	61
6	DinoDoctor_	31
7	EMC_	29
7	Mahoose	29
9	Enderxz3	26
10	Mattesco	20
11	Spacewardharpy7	18
12	MrKrabOnCoke	17
13	PazinGaming	14
14	Fuad_R	13
15	Nicserso	8
16	Smashic	6
17	Lez_	5
18	Jackattack53	4
19	12Magner05	3
19	Jimb0nat0r	3
21	Apollo_993	2
21	ECstardust	2
21	CaracolCxnt	2
24	Alteriity	1
24	TheSecondLord	1
24	Pineapplesugr	1
24	AlexxO_o	1
24	LeonelSalamanca	1
24	lordpipe	1
