rank	username	minecraft:dropped/minecraft:ghast_tear
1	thewindmillman	20914
2	Snowflowe	142
3	Di_infiri	122
4	RobotMinion101	117
5	Smoke____	79
6	Skylord_Luke	64
7	noam464	56
8	kekhon	54
9	eitanzaki	46
10	vandmanden	40
11	Blaiku	29
12	brofrickcheaters	25
13	PigDab	19
14	Lord_Jord	17
14	Spacewardharpy7	17
16	PortlyPete69	16
17	emrekn	15
18	Sky_light_KING	14
19	NomadicRobin_	12
20	SpookyDraggin	11
20	Cocoamallows	11
22	lillips	10
23	Zythose	9
23	Akoot_	9
25	claivin	8
26	RebelAndroid	7
27	YungMaki	6
27	Spenduh	6
27	stahouo	6
27	jcool7	6
31	_Virify_	5
31	rarrq	5
31	Hyp3rion_	5
31	Blu3beast	5
31	Nycteus_	5
31	Frozil12	5
37	EMC_	4
37	I_Am_Mushkin	4
37	Flores991	4
37	T045RTY	4
37	thescout7	4
37	fred870d	4
37	chipklip	4
37	Racengan	4
37	Eraxa	4
37	Dogcorn69420	4
37	EcksD	4
37	jnp_gaming	4
49	Groovy_MoonBird	3
49	PhantomsGhost_	3
49	hm947	3
49	Incinere	3
49	lotarp	3
49	beeperbeeper5	3
49	Shadoko_	3
49	Fullut	3
49	Xalithia	3
49	HyperCave	3
49	stavgod	3
49	CalebDHawk	3
49	Skippeh	3
62	Jovaphobic	2
62	Werbe	2
62	stuy9	2
62	AssEatrAndLicker	2
62	monky_irl	2
62	pixelviolin	2
62	Kyrum2169	2
62	__tomato	2
62	lcvezra	2
62	sebastiensaborio	2
62	alderban107	2
62	anbbang	2
62	AltnumberF4	2
62	Powowowow	2
62	TechnoNinja64	2
62	trexgb	2
62	diggydog67	2
79	KomputerDude	1
79	Reamdin	1
79	r123moore	1
79	Covalents	1
79	Kakolbus	1
79	Marbz_	1
79	Arceus1975	1
79	Shiirazuku	1
79	HoldThatPee	1
79	Russiancat1	1
79	Xclax101	1
79	Razzgriz	1
79	Jij0	1
79	SvenskaHugo	1
79	djancak	1
79	MeetTheWollo	1
79	h2p_emrld	1
