rank	username	minecraft:dropped/minecraft:popped_chorus_fruit
1	thewindmillman	9013
2	Hyp3rion_	3644
3	lordpipe	387
4	noam464	334
5	TheTrueClipse	329
6	jnp_gaming	192
7	Jackattack53	74
8	Iamthejo	66
9	imcombxt	64
9	sadvavilloso	64
11	Groundler	54
12	Blaiku	46
13	beeperbeeper5	40
14	kekhon	37
15	mihimihimihi	32
16	Bandito_Roamer	29
17	AdmiralSmoke	26
18	ApophisNova	16
18	MyNamaSheff	16
20	eitanzaki	14
21	I_Am_Mushkin	4
21	MilleGrug	4
21	Nicserso	4
24	Apollo_993	3
24	CaracolCxnt	3
24	set67	3
24	PigDab	3
24	NomadicRobin_	3
24	Ritter__	3
24	TheEnderMan548	3
24	Kubeusz2010	3
32	iSammael	2
32	vandmanden	2
32	Jimb0nat0r	2
35	H0UNDFRMH3LL	1
35	Blackberry1310	1
35	surfinggiraffejp	1
35	Spacewardharpy7	1
35	Kura2218	1
35	brofrickcheaters	1
