rank	username	minecraft:dropped/minecraft:cut_sandstone_slab
1	xzvu	410
2	kekhon	283
3	lordpipe	211
4	MousePlays	172
5	AuroraValkyrie	128
6	diamondgolem35	103
7	Eraxa	96
8	Soplight	87
9	FreakGenius	82
10	Merv__	78
11	Steelynan	65
12	Wowful	64
12	Kyrum2169	64
14	himak1	56
15	Sral7	54
16	KarlKaek	51
17	eitanzaki	49
18	TechnoNinja64	24
19	ImpavidArcher	23
20	_Karmaa	22
21	RobotMinion101	21
22	2Stout	17
23	Blackberry1310	15
24	Fullut	13
25	Cryptacity	12
25	HellsSponge	12
27	AdmiralSmoke	11
28	Frozil20	10
28	wobn	10
30	r123moore	9
30	WyngGoy	9
32	Akoot_	8
33	Lez_	7
33	EveryonesUncle	7
35	xXTheWolfmanXx	6
35	_Dean_123	6
35	iSammael	6
38	Di_infiri	5
38	luseis	5
38	Segotep999	5
38	TheOuterCore	5
42	Jackattack53	4
42	C0oOK13M0N5T3R	4
42	Optiprimus	4
45	RebelAndroid	3
45	joethahobo	3
45	Ssor69	3
45	500am	3
45	noam464	3
50	beeperbeeper5	2
50	_Bguette_	2
50	Tyrannosplart	2
50	DarlaMeow	2
50	weabis	2
50	Ezekson	2
50	Nicserso	2
57	BodaciousCake	1
57	Mahoose	1
57	ShedJr_	1
57	rarrq	1
57	Saucepeh	1
57	TheSecondLord	1
57	Awyrlas	1
57	Cellcorgi649	1
57	andy_rex	1
57	epiksk8erduck	1
57	SwooshBoi	1
57	fluddd	1
57	Spacewardharpy7	1
