rank	username	minecraft:dropped/minecraft:piston
1	noam464	100705
2	Hyp3rion_	53808
3	EcksD	7738
4	thewindmillman	7074
5	Di_infiri	6201
6	eitanzaki	6130
7	Spacewardharpy7	5428
8	Blaiku	3146
9	Jackattack53	2614
10	mihimihimihi	1442
11	Mahoose	455
12	PigDab	402
13	thescout7	400
14	Frozil20	325
15	kekhon	237
16	Akoot_	215
17	Werbe	212
18	Fuad_R	178
19	lordpipe	175
20	joethahobo	154
21	Smoke____	147
22	Tyrannosplart	130
23	Huwulling	129
24	lillips	118
25	Njensen7	114
26	EMC_	110
27	HellsSponge	95
28	Racengan	90
29	Zythose	80
30	jnp_gaming	79
31	Dogcorn69420	72
31	Eczbek	72
33	_Nuf	70
34	binman420	66
35	Shogunite	64
35	WyngGoy	64
35	YungMaki	64
35	vandmanden	64
39	Masssonnn	55
40	SammiWolfGirl	53
40	Nicserso	53
42	TildaAndrea	50
42	lizardfightclub	50
44	UrbanPlanningEx	49
45	FreakGenius	48
46	_TCARREIRA_	42
47	set67	41
48	LexMakesHistory	36
49	CadenSteele	34
49	Lord_Jord	34
51	r123moore	33
52	tuckerdoodle	31
53	TechnoNinja64	28
54	Kowcio_	26
54	gusstationwerker	26
56	censorsheep	25
57	Arceus1975	23
57	Zoeyfortnite	23
59	ebanana	21
60	Snowflowe	18
60	RealGroot	18
62	xolstoi	14
63	Groundler	13
63	SkateboardR6	13
65	AuroraValkyrie	12
65	ShedJr_	12
65	Lez_	12
65	beeperbeeper5	12
65	Wowful	12
65	EfficientC52	12
71	Aryamanee	11
72	ImpavidArcher	10
72	bloodbiter	10
72	Fullut	10
72	XboxPanda	10
72	groofles	10
72	MirielThePastor	10
78	Inbefour	9
79	Comma__	8
80	Blackberry1310	7
80	xxPipperDipperxx	7
80	Bumpy419	7
80	sxc_	7
84	Prismyst	6
84	Warlord324	6
84	__tomato	6
84	jcool7	6
84	Jimb0nat0r	6
89	Tobinator_007	5
89	monky_irl	5
91	Prodiginus	4
91	500am	4
91	gabriels543	4
91	StinkyDiplomat	4
91	Quaintster	4
96	q_wq	3
96	rarrq	3
96	TinMaster	3
96	BobDeBouwer1337	3
96	_Dean_123	3
96	gcaisawesome	3
96	RIPB0ZO	3
96	Chromary	3
96	J4ko8_	3
96	NameGenerat0r	3
96	Blu3beast	3
96	Soplight	3
96	reaperface123	3
96	Ezekson	3
110	Elprone266	2
110	Merv__	2
110	ssleepless	2
110	Rox_The_Box	2
110	fr0stss	2
110	Historical_Sand	2
110	Swexti	2
110	picardred	2
110	dopplexd	2
110	mattybeewrapss	2
110	Rich_Kat	2
110	BreadFruggis	2
110	Smashic	2
110	legal_tax_evader	2
110	seramalen	2
110	Russiancat1	2
110	fkGrim	2
110	claivin	2
110	Eraxa	2
110	Mythic1130	2
110	ediballbearings	2
110	PortlyPete69	2
132	pintsizedrogue	1
132	The_Thund	1
132	PhantomsGhost_	1
132	LovelyDane	1
132	diamondgolem35	1
132	bigstankyy	1
132	oreee	1
132	Ozixar	1
132	TheSecondLord	1
132	MrExplorer	1
132	SteveCraftBlocks	1
132	mwrty	1
132	Motsaro	1
132	Touched_Bread	1
132	eiC_	1
132	BlueZabu	1
132	fr_ser	1
132	MyNameIsJobo	1
132	Useless_Relic	1
132	hanaryheatwave	1
132	Corbsman	1
132	RobotMinion101	1
132	cedric72	1
132	BunkeredTree	1
132	stuy9	1
132	fw3xywashere	1
132	NomadicRobin_	1
132	FreddyFart	1
132	RoofTyler	1
132	DarlaMeow	1
132	Kura2218	1
132	SvenskaHugo	1
132	SpacesickPrism	1
132	ProbsNotNova	1
132	Sheldor097	1
132	Dreamdbr14	1
132	KingMatthew506	1
132	_KuruKuru	1
132	ConnorDanky_	1
132	FishisTTV	1
