rank	username	minecraft:dropped/minecraft:packed_ice
1	EcksD	54056
2	noam464	53535
3	Spacewardharpy7	4345
4	eitanzaki	3190
5	YungMaki	2186
6	jnp_gaming	2087
7	Di_infiri	1990
8	joethahobo	1610
9	stahouo	1473
10	pintsizedrogue	1381
11	Onennon	1337
12	oxfordschool	1280
13	Fullut	1277
14	Blaiku	1235
15	Racengan	1137
16	Blu3beast	1132
17	rarrq	1123
18	TechnoNinja64	1078
19	mwrty	969
20	Kubeusz2010	960
21	Werbe	906
21	AssEatrAndLicker	906
23	Sky_light_KING	848
24	kekhon	726
25	obzii	713
26	Blackberry1310	709
27	_TCARREIRA_	685
28	lillips	650
29	xxPipperDipperxx	640
30	Maenara	639
31	Hisiste	593
32	bloodbiter	576
32	TheTrueClipse	576
34	Nyxiom_	566
35	_Karmaa	548
36	mawileite	512
37	thescout7	504
38	_naturell	466
39	lordpipe	462
40	Hermanni__	448
41	thewindmillman	407
42	beeperbeeper5	404
43	Eraxa	389
44	PhantomsGhost_	385
45	500am	352
46	HesDemonPants	322
47	KarlKaek	320
47	Stynxy	320
49	Akoot_	291
50	PigDab	290
51	Drlzyy	270
52	Rumpletaezer	262
53	ApophisNova	247
53	MyNamaSheff	247
53	Smoke____	247
56	TheSecondLord	241
57	Zoeyfortnite	224
58	Jackattack53	222
59	RodSerlingCringe	219
60	EveryonesUncle	205
61	I_Am_Mushkin	202
62	LexMakesHistory	192
63	Hyp3rion_	164
64	Chromary	149
65	OtariCharlie	145
66	HellsSponge	144
67	claivin	143
67	Spenduh	143
69	Strangemonkey71	129
70	Kamflame10	128
70	ReyTheLegend	128
70	lcvezra	128
73	__tomato	122
74	ImpavidArcher	120
75	Sral7	115
76	Skylord_Luke	111
77	Historical_Sand	109
78	yulgur1	105
79	Zythose	100
80	Natofthese	88
81	MovingFish7	82
82	Arceus1975	81
82	DaviusMaximoose	81
84	Sheldor097	75
85	PortlyPete69	74
86	Kakolbus	72
87	Winklepicker279	68
87	pixelviolin	68
89	Freak_Genius	67
90	layabout100	66
90	sadvavilloso	66
90	sebastiensaborio	66
93	BlancoFlaco	65
93	diggydog67	65
95	Myszoaz	64
95	_Dean_123	64
95	set67	64
95	arcanemagic	64
95	NoChumpChange	64
95	Legendosh	64
101	H72l9w	62
101	ROY4LE	62
101	r123moore	62
101	h2p_emrld	62
105	Groundler	57
106	6king6colt6	56
106	XeroByMyth	56
106	MightyWertu	56
109	Frozil12	50
110	DarlaMeow	48
110	AltnumberF4	48
112	kinas45y5	42
113	smogfrog	41
114	FirsTimeGamingTV	38
115	Snowflowe	36
116	Inchef	32
116	IAmTheWalrus910	32
118	Bumpy419	31
119	hm947	26
119	Soplight	26
121	gabriels543	25
122	fluddd	23
123	Nycteus_	21
124	Krasnal1337	20
124	chipklip	20
126	Mahoose	18
126	ShedJr_	18
126	RobotMinion101	18
129	Tjhodskins19	16
129	MakeHistory157	16
129	ediballbearings	16
129	jcool7	16
133	Iagoku	15
133	SammiWolfGirl	15
135	Franco093	14
136	livingdaydreams	13
136	King_Pancake1	13
138	Ezekson	11
139	AmbroseForLife	10
139	_8man	10
139	Lord_Jord	10
142	Quincannon	9
142	Kowcio_	9
144	Rocco_Lane	8
144	UrbanPlanner1978	8
146	JESS_THE_RERE	7
146	Razzgriz	7
148	Spaghettatron	6
148	himak1	6
148	KG1999	6
151	TooManyDuck	5
151	Zaridey	5
151	proxivitoid	5
151	Skippeh	5
155	NomadicRobin_	4
155	fkGrim	4
155	WYFYoyo	4
158	_Virify_	3
158	Vizzoid	3
158	lizardfightclub	3
158	TheSeismicDuck	3
158	Barlycorn	3
158	Kyrum2169	3
158	EcksDofficial	3
158	FishisTTV	3
166	Groovy_MoonBird	2
166	301851	2
166	eiC_	2
166	Hiryu27	2
166	Factoroni	2
166	stavgod	2
166	voiding_	2
166	alderban107	2
174	Merv__	1
174	EMC_	1
174	CoffeeNoir	1
174	tramizu	1
174	ratglock	1
174	Cryptacity	1
174	G1ldor	1
174	AngalexikCZ	1
174	insanepace	1
174	SellyZ	1
174	MyNameIsJobo	1
174	SuperPooch06	1
174	Donutt	1
174	BronkerBrum	1
174	Nicky19	1
174	Deathkob	1
174	censorsheep	1
174	Vorlice	1
