rank	username	minecraft:dropped/minecraft:sweet_berries
118	out1s	43
121	CoffeeNoir	41
122	noam464	40
123	Skippeh	39
124	Swexti	38
124	ratglock	38
124	corvidpartyfor6	38
124	zToasty69z	38
128	ECstardust	37
128	Di_infiri	37
128	miramyu	37
131	DairyNickel756	36
132	TheSecondLord	35
132	AlexxO_o	35
134	MiningPie	34
134	Steelynan	34
134	h2p_emrld	34
137	Natty	33
137	legal_tax_evader	33
137	wezzzi	33
137	badooga	33
137	fkGrim	33
137	Racengan	33
137	pixelviolin	33
144	ApophisNova	32
144	BRRRN179	32
144	DeltGod01704	32
144	MyNamaSheff	32
144	TheWickedBird	32
149	xxPipperDipperxx	31
149	TheWildMateo	31
149	PigDab	31
149	MakeHistory157	31
153	Huwulling	29
153	500am	29
153	DarlaMeow	29
153	Fuad_R	29
153	Toriankel	29
158	mwrty	28
158	gcaisawesome	28
160	rpmm	27
161	Jackattack53	26
161	_Meow_Mix	26
161	FGamerJ	26
161	Earlesstrain4	26
165	_Huge_Male_	25
165	T045RTY	25
165	drunkeeez	25
165	JoeSaysBingBong	25
165	Pumpkin_P_Patch	25
165	annebolyn	25
171	Lez_	24
171	excelsionprime	24
171	Legendosh	24
174	crying_wolf_13	23
174	Maenara	23
174	Typadopoulos	23
177	w3nd3lbo3	22
177	_Dean_123	22
177	WyngGoy	22
180	6king6colt6	21
180	Hpdinosaur	21
180	JuuustYeet	21
180	prizm_	21
180	Rumpletaezer	21
180	738b4f65-6cbd-4ead-ba31-c14211abfb06	21
180	Kura2218	21
180	Kubeusz2010	21
188	_havick	20
188	SteveCraftBlocks	20
190	Louiis123	19
190	Historical_Sand	19
192	myaccountwasgone	18
192	TheShyPig	18
192	420BreadLizard	18
192	Juh1s	18
192	Powowowow	18
192	Zoeyfortnite	18
198	Jovaphobic	17
198	odinozaur10	17
198	KliBeast21	17
198	Soap_Bender	17
198	pretty_pink_reno	17
198	Jimb0nat0r	17
198	WYFYoyo	17
205	gren_ben	16
205	fr0stss	16
205	TheMaster972	16
205	CollinMH06	16
205	Werbe	16
205	Onennon	16
205	EdGalbraith	16
205	obzii	16
205	robonya_	16
214	SoosAmongus	15
214	skroobiez	15
214	Hyp3rion_	15
214	Skylord_Luke	15
214	Voxin2K	15
214	Shortest_Man	15
214	BRICS	15
214	Fakiuss	15
214	Xclax101	15
214	Buuck_	15
214	LordAurum	15
214	Freedrik	15
226	Druid95	14
226	AstroLightz_	14
226	Crimsongale	14
229	BlueishDEV	13
229	AuroraSkies	13
229	AssassinAshton	13
229	layabout100	13
229	LeeMcGee30	13
234	JohnnyFyes	12
234	MedSeaArch	12
234	ConcretePirate	12
234	hijeatsdirt	12
234	Xalithia	12
234	Jonafrog99	12
234	CranialBlowout	12
234	SomeDumbFish	12
234	xKool	12
234	ogoa	12
234	bpmm	12
245	_Virify_	11
245	heysushii	11
245	_stets	11
245	KomputerDude	11
245	_themselves	11
245	Cryptacity	11
245	_Minnty_	11
245	Touched_Bread	11
245	FlashingDemon	11
245	Mattesco	11
245	silverpopcorn	11
245	SkateboardR6	11
245	33sudo	11
245	Nicserso	11
259	I_Am_Mushkin	10
259	Euclidoris	10
259	BobDeBouwer1337	10
259	lorpus	10
259	Ecplosive	10
259	Malware_Mara	10
259	guiltybastard	10
259	ScootOfBoot	10
259	Ximid	10
259	monky_irl	10
259	Lord_Doob	10
259	ElectricDragon81	10
259	stavgod	10
259	Sheldor097	10
273	soundad	9
273	livingdaydreams	9
273	Lazy_geniusig	9
273	ketaminmann	9
273	emrekn	9
273	orxngejuice	9
273	Arceus1975	9
273	burbankbuilder28	9
273	Krowuss	9
273	Blamphe	9
273	Swiffin	9
273	JustinRee	9
285	zqw10k	8
285	lorywithay	8
285	hxdjxd	8
285	Kkanot	8
285	imcombxt	8
285	Kubelz	8
285	JumpingRoo	8
285	mikiagent025	8
285	Mouse74	8
285	GreedyFern8581	8
285	StinkyDiplomat	8
285	__Auspicious	8
285	THEKINGLyric10	8
285	IAmTheWalrus910	8
285	xzvu	8
300	Apollo_993	7
