rank	username	minecraft:dropped/minecraft:beetroot
1	HellsSponge	10999
2	Spacewardharpy7	6570
3	joethahobo	5933
4	Werbe	5105
5	thewindmillman	3564
6	Hyp3rion_	2726
7	thescout7	2115
8	eitanzaki	1691
9	lillips	1672
10	Blaiku	1574
11	TechnoNinja64	1440
12	Mahoose	1391
13	chipklip	1241
14	sp00ky_ghost977	1236
15	Freak_Genius	872
16	teslawolf38	832
17	kekhon	797
18	Snowflowe	774
19	jnp_gaming	766
20	Di_infiri	728
21	PigDab	609
22	T045RTY	581
23	Sky_light_KING	579
24	ProfessorBee	561
25	youhjjhhhjj	496
26	noam464	476
27	beeperbeeper5	379
28	fr_ser	319
29	Darkgon	295
30	Rumpletaezer	202
31	lordpipe	197
32	Bumpy419	145
33	Comma__	132
34	Blackberry1310	131
35	_Nuf	116
36	Xclax101	95
37	thgrocks	89
38	Frozil12	80
39	KingFaenor	76
40	Fullut	68
41	PlzNoBM	65
42	Mowelan	64
43	DanTheBuilderino	58
44	Drewen24	53
45	6king6colt6	50
46	EcksDofficial	48
47	TheSecondLord	44
47	izzybearh	44
47	YungMaki	44
50	KatieBelle04	42
51	Luigipunch989	38
52	TooManyDuck	34
53	The_slideV3	31
54	Joestra	30
54	JayToe	30
56	yulgur1	29
57	_Virify_	28
58	Incinere	26
58	500am	26
60	SpicyMeatballs	24
61	RedcatVII	23
62	linxthesontaran	21
63	oxfordschool	20
64	fallingemma	18
64	Eraxa	18
64	kinas45y5	18
67	MixerDixer	17
67	Natty	17
67	Rorrofighter	17
67	Russiancat1	17
71	Iagoku	16
71	NameGenerat0r	16
71	Quaintster	16
71	MineMaster0012	16
75	bigstankyy	15
75	lcvezra	15
77	Cowison	14
78	mimbo1211	13
78	DermeinUser	13
78	_Boipl_	13
81	gcaisawesome	12
81	eiC_	12
81	platinumzero	12
81	Njensen7	12
85	emrekn	11
86	SvenskaHugo	10
86	Sheldor097	10
88	MovingFish7	9
89	Harotio	8
89	Merv__	8
89	SaucyDark	8
89	Hpdinosaur	8
89	ROY4LE	8
89	Tobias0113	8
89	marumochis	8
89	Soplight	8
89	PortlyPete69	8
98	cog	7
98	Cocoamallows	7
98	yatsuta	7
98	DennyKai	7
102	UncreativeArtist	6
102	Dirt158357	6
102	Zythose	6
102	k1ngGilgamesh	6
106	rarrq	5
106	burbankbuilder28	5
106	Matyyy15	5
106	Jiminbub	5
106	El_Jalapeno	5
106	MightyWertu	5
106	stahouo	5
113	Malorn_Aetherius	4
113	jacxhadow	4
113	Maenara	4
113	Ashton1242	4
113	cichy096	4
113	Smoke____	4
119	Lotheburgh	3
119	Vizzoid	3
119	Prodiginus	3
119	shdesolt	3
119	bloodbiter	3
119	SteveCraftBlocks	3
119	Jackattack53	3
119	MeanTugger	3
119	EveryonesUncle	3
119	fluddd	3
119	Groundler	3
119	BumbleBeever	3
119	CACTUSLAD	3
119	Poppy235	3
133	I_Am_Mushkin	2
133	dopplexd	2
133	Kubelz	2
133	killmeiamtraitor	2
133	Corbsman	2
133	RobotMinion101	2
133	LetsDoItLive	2
133	__tomato	2
133	SammiWolfGirl	2
133	Hermanni__	2
133	Rainaldus	2
133	smogfrog	2
133	PlasticOtari	2
146	Louiis123	1
146	PhantomsGhost_	1
146	varvania	1
146	Sleek_Storm_721	1
146	KarlKaek	1
146	Lukeee33	1
146	Flores991	1
146	Batman922	1
146	KomputerDude	1
146	Sparky_KT	1
146	4383	1
146	MattieHD	1
146	_Minnty_	1
146	NotMeanttoChange	1
146	ImDisconnected_	1
146	toj__	1
146	AJplaysMC_	1
146	whoaluv	1
146	Skylord_Luke	1
146	Truckoss	1
146	brickman241	1
146	jewbacaman	1
146	TheShyPig	1
146	Myhym	1
146	Blazaey	1
146	natajimi	1
146	NomadicRobin_	1
146	gustarbite	1
146	_Bguette_	1
146	JESS_THE_RERE	1
146	_Karmaa	1
146	501g	1
146	censorsheep	1
146	VilsSwag	1
146	silverpopcorn	1
146	SkateboardR6	1
146	OG_Songsee	1
146	Chaotic1s	1
146	babyjimmyneutron	1
146	33sudo	1
146	Nagasaki_Riku	1
146	CSG_Haru	1
146	plato2066	1
146	Bawbman	1
146	ediballbearings	1
146	_TCARREIRA_	1
146	jcool7	1
146	OfficerAnvil	1
146	EcksD	1
146	QueenOfDirt	1
146	HesDemonPants	1
146	Zoeyfortnite	1
