rank	username	minecraft:dropped/minecraft:spruce_button
1	noam464	8836
2	Kyrum2169	608
3	Di_infiri	387
4	Groovy_MoonBird	384
5	EcksD	321
6	Spacewardharpy7	320
7	Hyp3rion_	129
8	eitanzaki	100
9	Blaiku	87
10	Mahoose	80
11	mwrty	64
11	Uzbeki_John	64
13	k1ngGilgamesh	59
14	Rebytre	46
15	diamondgolem35	33
16	fkGrim	31
17	Frozil20	28
18	kekhon	27
19	IamCL4SSY	21
20	EveryonesUncle	19
20	FreakGenius	19
22	Ezekson	15
23	EMC_	11
23	Comma__	11
23	Fullut	11
26	Smoke____	10
27	beeperbeeper5	9
27	AuroraSkies	9
27	mihimihimihi	9
27	UCP_TheKingK	9
31	SquadMonster	7
31	Chromary	7
31	lillips	7
31	RoofTyler	7
31	jnp_gaming	7
36	TheSecondLord	6
36	Lord_Doob	6
38	rarrq	5
38	m_be9	5
38	Kakolbus	5
38	burbankbuilder28	5
42	bloodbiter	4
42	Septemb3r	4
42	M_Patata	4
42	Jackattack53	4
42	Arceus1975	4
42	The_Quack_Dealer	4
42	MasterNueve	4
42	ConnorDanky_	4
50	pintsizedrogue	3
50	ImpavidArcher	3
50	Cryptacity	3
50	Adlair	3
50	Inchef	3
50	Werbe	3
50	PigDab	3
50	Jonte0599	3
50	luseis	3
50	SkateboardR6	3
50	Kowcio_	3
50	Skippeh	3
50	The_SlideV5	3
63	heysushii	2
63	SmashingPump	2
63	Ailmast	2
63	hm947	2
63	Historical_Sand	2
63	Stynxy	2
63	set67	2
63	xxPipperDipperxx	2
63	Akoot_	2
63	MyNameIsDakar	2
63	Xclax101	2
63	Eraxa	2
63	SvenskaHugo	2
63	Luigipunch989	2
63	Steelynan	2
63	anbbang	2
63	Enderxz3	2
63	Zoeyfortnite	2
63	Umbreon900	2
82	MunkaKris	1
82	Jovaphobic	1
82	k_ce	1
82	MuffinManzz	1
82	dabloons	1
82	jspwn	1
82	Merv__	1
82	teslawolf38	1
82	KarlKaek	1
82	T045RTY	1
82	jessewegottacook	1
82	_Dean_123	1
82	500am	1
82	BreadFruggis	1
82	Smashic	1
82	thescout7	1
82	NotMeanttoChange	1
82	olliebollie48	1
82	John6970	1
82	NotoriousNina	1
82	BlueZabu	1
82	Rumpletaezer	1
82	Jeteight	1
82	Voxin2K	1
82	Onennon	1
82	AlexxO_o	1
82	DC_XII	1
82	Deathkob	1
82	wobn	1
82	Karbl	1
82	weabis	1
82	EfficientC52	1
82	El_Jalapeno	1
82	Warlord324	1
82	somegirl12_	1
82	BlankityMcBlank	1
82	Soplight	1
82	xzvu	1
82	SammiWolfGirl	1
82	obzii	1
82	KingMatthew506	1
82	Quotary	1
82	Nicserso	1
82	AltnumberF4	1
82	Jordan_R	1
82	Teebone15	1
