rank	username	minecraft:dropped/minecraft:polished_andesite_stairs
1	Smoke____	142
2	himak1	107
3	TechnoNinja64	100
4	SteveCraftBlocks	91
5	noam464	88
6	lordpipe	84
7	Xclax101	69
8	Inchef	59
9	burbankbuilder28	57
10	Maenara	49
11	500am	48
12	MyNameIsDakar	34
13	DemTechAlpha	30
14	UncreativeArtist	29
15	CalebDHawk	23
16	the_fireminer	22
16	beeperbeeper5	22
16	Jackattack53	22
19	Comma__	20
20	CheckOutMyPVault	15
21	Mahoose	12
22	AlazelTheReal	9
23	Ezekson	8
24	Kazekage	7
24	EveryonesUncle	7
26	BlueZabu	6
26	FreakGenius	6
26	VentiHilton	6
29	Groovy_MoonBird	5
30	RobotMinion101	4
30	Onennon	4
30	ZA07	4
30	weabis	4
34	Alteriity	3
34	Lez_	3
34	Awyrlas	3
34	Di_infiri	3
34	Arceus1975	3
34	kyouma777	3
40	Huwulling	2
40	SquadMonster	2
40	kekhon	2
40	TheWildMateo	2
40	Akoot_	2
40	Matorz	2
40	PlasticOtari	2
47	Cowison	1
47	_darky1_	1
47	fr0stss	1
47	MattieHD	1
47	lorpus	1
47	Xalithia	1
47	Hyp3rion_	1
47	The11thDoctor	1
47	seramalen	1
47	AlphaWolfPlaysMC	1
47	_Bguette_	1
47	Fuad_R	1
47	HellsSponge	1
47	sp00ky_ghost977	1
47	Enderxz3	1
