rank	username	minecraft:dropped/minecraft:beetroot_seeds
1	Di_infiri	5531
2	Mahoose	4707
3	bloodbiter	4335
4	TechnoNinja64	3691
5	Blaiku	2352
6	HellsSponge	1683
7	Blackberry1310	1403
8	Freak_Genius	1270
9	Werbe	1077
9	AssEatrAndLicker	1077
11	thescout7	1013
12	youhjjhhhjj	957
13	YungMaki	921
14	noam464	749
15	eitanzaki	691
16	beeperbeeper5	367
17	_Nuf	346
18	Hpdinosaur	275
19	thewindmillman	220
19	thgrocks	220
21	JayToe	218
22	CoffeeNoir	205
23	kekhon	200
24	Comma__	196
24	ProfessorBee	196
26	lillips	191
27	Soplight	187
28	TheSecondLord	161
28	El_Jalapeno	161
30	Spacewardharpy7	159
31	Merv__	142
32	KingFaenor	137
33	RebelAndroid	131
33	ProbsNotNova	131
35	DanTheBuilderino	128
36	lcvezra	106
37	Akoot_	105
38	ItsAki_	96
39	Smoke____	88
40	Xclax101	87
41	KatieBelle04	84
42	KarlKaek	81
43	audiocracked	79
43	MineMaster0012	79
45	H72l9w	76
45	Bumpy419	76
47	EcksDofficial	72
48	RedcatVII	71
49	heckface	69
50	Skippeh	68
51	FGamerJ	65
52	SirUnderpants	64
52	Bad_At_Names_Guy	64
52	Upstro10	64
52	Drewen24	64
52	Joestra	64
57	The_slideV3	63
58	joethahobo	61
59	Mewar	57
59	The11thDoctor	57
61	yulgur1	55
62	Natty	52
63	DiscardedCE	50
63	masskedman	50
65	Shiirazuku	49
66	fluddd	48
67	pintsizedrogue	44
67	rarrq	44
69	intropass	41
69	Rumpletaezer	41
69	Snowflowe	41
72	TheShyPig	40
73	Bandito_Roamer	39
73	xxPipperDipperxx	39
75	jushykins	36
75	Fullut	36
77	Houstonion	35
77	Hisiste	35
77	jnp_gaming	35
80	lOlmantschi	33
81	eviltunix	31
82	I_Am_Mushkin	28
82	fallingemma	28
84	Incinere	27
84	Voxin2K	27
86	MovingFish7	26
86	lordpipe	26
86	SvenskaHugo	26
89	TheWeeknd14	25
89	Russiancat1	25
89	chipklip	25
89	Groundler	25
93	Hiryu27	24
94	dabloons	23
95	gcaisawesome	22
95	burbankbuilder28	22
97	PhantomsGhost_	21
97	wTXop	21
99	Donutt	20
99	Tobias0113	20
99	Kateesaur	20
102	domagawha	18
102	linxthesontaran	18
102	BumbleBeever	18
102	Njensen7	18
102	Sral7	18
107	Zythose	17
108	Myszoaz	16
108	SammiWolfGirl	16
108	MeetTheWollo	16
111	_Bguette_	15
111	Frozil12	15
111	marumochis	15
114	lizardfightclub	14
114	EcksD	14
116	CollinMH06	13
116	Matorz	13
116	Rainaldus	13
116	amkold	13
120	emrekn	12
120	NameGenerat0r	12
120	Poppy235	12
120	RadarHz	12
120	Wanjibon	12
125	MinttyFressh	11
125	kars0n	11
125	Barlycorn	11
128	Awyrlas	10
128	SirMeowsMucho	10
128	oxfordschool	10
131	dudcreeper	9
131	ExtraDumb	9
131	Vizzoid	9
131	fr_ser	9
131	Jackattack53	9
131	SUN_DREAM	9
131	Eraxa	9
131	yatsuta	9
131	striker90333	9
131	VentiHilton	9
141	awesomeoneme	8
141	Megarboh	8
141	Jiminbub	8
141	stahouo	8
141	_TCARREIRA_	8
146	SaucyDark	7
146	TooManyDuck	7
146	_Razar	7
146	Prodiginus	7
146	Malorn_Aetherius	7
146	MattieHD	7
146	mwrty	7
146	MustaLoordi	7
146	sebastiensaborio	7
155	_Virify_	6
155	soundad	6
155	Guillemet	6
155	SteveCraftBlocks	6
155	500am	6
155	Kamflame10	6
155	himak1	6
155	Covalents	6
155	_8man	6
155	sammidk	6
155	Rasmanden	6
155	Maenara	6
155	Lord_Jord	6
155	Deathkob	6
155	Meatlaugh	6
155	Racengan	6
155	Optiprimus	6
155	Zoeyfortnite	6
155	WYFYoyo	6
174	MunkaKris	5
174	fanofbands101	5
174	EMC_	5
