rank	username	minecraft:dropped/minecraft:black_banner
1	lordpipe	454
2	beeperbeeper5	117
3	Eraxa	94
4	seramalen	51
5	_Dean_123	44
6	ConnorDanky_	41
7	MakeHistory157	23
8	rarrq	19
8	Akoot_	19
8	Blaiku	19
11	joethahobo	16
12	eitanzaki	15
13	kekhon	14
14	Mahoose	12
14	Lez_	12
16	binman420	11
16	Hermanni__	11
18	fluddd	10
19	ProfessorBee	9
19	Spacewardharpy7	9
21	noam464	8
21	NameGenerat0r	8
21	sp00ky_ghost977	8
24	Huwulling	7
24	Werbe	7
24	luseis	7
24	Blu3beast	7
28	_Karmaa	6
29	MrExplorer	5
30	I_Am_Mushkin	4
30	MattieHD	4
30	SteveCraftBlocks	4
30	burbankbuilder28	4
30	HellsSponge	4
30	Enderxz3	4
36	teslawolf38	3
36	CompAir	3
36	T045RTY	3
36	Historical_Sand	3
36	titanlax	3
36	Blackberry1310	3
36	Arceus1975	3
36	Rocco_Lane	3
36	RobotMinion101	3
36	JoCoLi	3
36	Kowcio_	3
47	Mr_Byzantine	2
47	TildaAndrea	2
47	LionelHutzESQ	2
47	Cryptacity	2
47	TheSecondLord	2
47	Kynigito	2
47	Maenara	2
47	Groundler	2
47	geekbird	2
47	Nekomin0	2
47	EcksD	2
47	Legendosh	2
47	xolstoi	2
47	Smoke____	2
61	pintsizedrogue	1
61	EMC_	1
61	BobDeBouwer1337	1
61	DarkDescent2392	1
61	500am	1
61	Fullut	1
61	thescout7	1
61	Touched_Bread	1
61	Di_infiri	1
61	LAVA129	1
61	Onennon	1
61	AlexxO_o	1
61	TheShyPig	1
61	FishyBoy3811	1
61	___James____	1
61	MovingFish7	1
61	BlankityMcBlank	1
61	xzvu	1
61	SammiWolfGirl	1
61	Sheldor097	1
61	KingMatthew506	1
61	FelixPSY375	1
61	UrbanPlanningEx	1
61	Jimb0nat0r	1
