rank	username	minecraft:dropped/minecraft:daylight_detector
1	Hyp3rion_	1644
2	noam464	27
3	MightyWertu	16
4	_Nuf	9
5	AuroraValkyrie	8
6	rarrq	5
7	FreakGenius	4
8	T045RTY	2
8	_Dean_123	2
8	thescout7	2
11	ImpavidArcher	1
11	eitanzaki	1
11	mwrty	1
11	Jackattack53	1
11	Arceus1975	1
11	Fast_Turtle	1
11	Akoot_	1
11	bruh072	1
11	SvenskaHugo	1
11	TechnoNinja64	1
