rank	username	minecraft:dropped/minecraft:rooted_dirt
1	thewindmillman	10380
2	Segotep999	1036
3	500am	635
4	RebytreGT	370
5	DairyNickel756	245
6	Jackattack53	166
7	12Magner05	155
8	AlexxO_o	148
9	Tersea_	144
10	Avocadogerms	101
11	pintsizedrogue	93
12	Aakvaa	86
13	TheALV	82
14	Yamdalorian	66
15	PortlyPete69	63
16	myaccountwasgone	60
17	Mahoose	56
18	SmashingPump	42
19	j5ylim	40
19	Hetti301	40
21	ZaneABrain	36
21	OreTheBear	36
21	MilleGrug	36
24	Frozil20	29
25	00000000-0000-0000-0009-01ff0c3e5e4f	26
26	Alteriity	25
26	Sleepy_Time_	25
28	k_ce	23
28	Zee_zey	23
30	SvenskaHugo	20
31	Lorcout	18
32	MSK__	14
33	eitanzaki	12
33	Lazy_geniusig	12
35	Mattesco	11
36	RebelAndroid	9
36	beeperbeeper5	9
38	TheSecondLord	8
38	ARandomHedge	8
38	Lord_Zacler	8
38	AltnumberF4	8
42	Nicserso	6
43	EMC_	4
43	ScootOfBoot	4
43	EcksD	4
46	Merv__	3
46	Hyp3rion_	3
46	2extreeme	3
46	Iamthejo	3
50	PazinGaming	2
50	HUNTERmaun	2
50	Inchef	2
50	Steelynan	2
50	Enderxz3	2
50	skitzxo	2
56	Lez_	1
56	Crowman1	1
56	Smashic	1
56	JETrotter	1
56	Skylord_Luke	1
56	PigDab	1
56	groofles	1
56	XxCookiequeenxX	1
56	EveryonesUncle	1
56	luseis	1
56	Manaateee	1
56	Dakar_	1
56	Fuad_R	1
56	pretty_pink_reno	1
56	iSammael	1
56	Kowcio_	1
56	MrShojo	1
56	TheKingK_	1
56	SpacesickPrism	1
56	2blox_	1
