rank	username	minecraft:dropped/minecraft:spider_eye
1	noam464	3983
2	Bumpy419	1727
3	thewindmillman	1701
4	EcksD	1690
5	PigDab	1180
6	beeperbeeper5	1179
7	Malorn_Aetherius	1096
8	fade_emerge78823	891
9	Blackberry1310	688
10	Smoke____	654
11	Ryker	640
12	EveryonesUncle	598
13	Shiirazuku	560
14	Di_infiri	526
15	Ezekson	473
16	Blaiku	469
17	Spacewardharpy7	467
18	lordpipe	452
19	YungMaki	445
20	eitanzaki	412
21	Deathkob	399
22	Fullut	375
23	Frozil12	357
24	Sral7	324
25	Cowison	312
26	RebelAndroid	311
27	Werbe	306
28	Freak_Genius	298
29	Mewar	285
30	lillips	273
31	Segotep999	261
32	rarrq	249
33	Skippeh	241
34	joethahobo	229
35	kekhon	215
36	thescout7	214
37	TheSecondLord	198
37	Jackattack53	198
39	HellsSponge	189
40	Hyp3rion_	185
41	gcaisawesome	179
42	chipklip	178
43	stahouo	172
44	Enderslayerxz3	155
45	MilleGrug	154
46	Winklepicker279	147
47	Lord_Jord	142
47	Xclax101	142
49	Eraxa	139
50	Da_Boss_Rani	135
50	Kowcio_	135
52	EMC_	133
53	I_Am_Mushkin	130
54	Mahoose	128
55	TechnoNinja64	127
56	Rumpletaezer	123
56	Steelynan	123
58	jnp_gaming	119
59	MyNameIsJobo	114
59	SkateboardR6	114
61	Blu3beast	112
61	PlasticOtari	112
63	Covalents	111
64	NomadicRobin_	105
65	Rebytre	99
65	ToastedGamingYT	99
67	The11thDoctor	96
68	diamondgolem35	94
68	Soplight	94
70	vandmanden	93
71	platinumzero	90
71	Arceus1975	90
73	Onennon	89
74	Inbefour	86
75	pintsizedrogue	85
76	Kakolbus	84
77	Racengan	83
78	Groovy_MoonBird	79
79	Zythose	76
80	Chromary	75
81	Nicserso	74
82	FirsTimeGamingTV	73
83	tuckerdoodle	72
83	500am	72
85	set67	69
86	claivin	68
86	oxfordschool	68
88	SteveWithClout	67
88	SvenskaHugo	67
90	ImpavidArcher	64
90	TheThomas69	64
90	wTXop	64
93	_Virify_	63
93	LordSpeed37	63
93	pixelviolin	63
96	FelixPSY375	62
97	fw3xywashere	61
98	PortlyPete69	60
99	Historical_Sand	59
99	M_Patata	59
99	RodSerlingCringe	59
99	Fuad_R	59
99	Dogcorn69420	59
104	mariominejedi	58
105	Hpdinosaur	56
105	Spenduh	56
107	Cocoamallows	55
107	UrbanPlanner1978	55
109	_naturell	53
110	benediktine1	52
111	Jovaphobic	51
111	Bandito_Roamer	51
111	Hisiste	51
114	ediballbearings	50
115	seanitoo	49
115	T045RTY	49
115	HolyVenom	49
115	KG1999	49
119	Skylord_Luke	48
120	Drlzyy	45
121	MasterNueve	44
121	GlitchyPlate810	44
123	awesomeoneme	43
123	Maenara	43
125	q_wq	42
125	CoffeeNoir	42
127	mwrty	41
127	XboxPanda	41
127	jcool7	41
130	ROY4LE	40
130	FishyBoy3811	40
130	Sky_light_KING	40
133	BlancoFlaco	39
133	ApophisNova	39
133	alderban107	39
133	MyNamaSheff	39
133	h2p_emrld	39
138	titanlax	38
138	TheShyPig	38
138	_Bguette_	38
138	EcksDofficial	38
142	ExtraDumb	37
142	WET_WET_WET	37
142	burbankbuilder28	37
142	Wowful	37
142	WyngGoy	37
147	youhjjhhhjj	36
147	NinjaKnifeKill	36
147	12Magner05	36
150	SpaceGrenadier	35
150	Akoot_	35
150	yulgur1	35
150	fffMike	35
150	Zoeyfortnite	35
155	fred870d	34
156	Smashic	33
156	Kkanot	33
156	egglapras	33
156	xxPipperDipperxx	33
156	Rocco_Lane	33
156	TheSeismicDuck	33
156	NameGenerat0r	33
156	obzii	33
164	eviltunix	32
165	UncreativeArtist	31
165	El_Jalapeno	31
167	emrekn	30
167	RobotMinion101	30
169	Awyrlas	29
169	himak1	29
169	Njensen7	29
172	lcvezra	28
173	CollinMH06	27
174	Menthas	26
174	bloodbiter	26
174	MinttyFressh	26
174	Soap_Bender	26
178	lotarp	25
178	SteveCraftBlocks	25
178	EfficientC52	25
178	Nycteus_	25
178	Groundler	25
178	KingMatthew506	25
178	Legendosh	25
185	_Nuf	24
186	Alteriity	23
186	MOSS000	23
186	SquadMonster	23
186	Comma__	23
186	SuperPooch06	23
186	Rasmanden	23
186	Miko_Fullbuster	23
193	PhantomsGhost_	22
193	Xalithia	22
193	BronkerBrum	22
193	Hiryu27	22
193	Nagasaki_Riku	22
193	TheEnderman548	22
193	Sheldor097	22
200	Flores991	21
200	livingdaydreams	21
200	m_be9	21
200	_Dean_123	21
200	Luigipunch989	21
200	HAruSAme14	21
200	MeetTheWollo	21
207	_NieToksikpl_	20
207	ColeSnyder	20
207	r123moore	20
207	CrateOfBoxes	20
207	AlexxO_o	20
207	RadarHz	20
213	Incinere	19
213	Nicky_H225	19
213	Dan_Scha	19
213	_Karmaa	19
213	SUN_DREAM	19
218	ProfessorBee	18
218	fluddd	18
218	stavgod	18
218	IdeallyGrey	18
218	Kyrum2169	18
218	UltraZombie	18
218	CalebDHawk	18
225	heckface	17
225	jacxhadow	17
225	Scathra	17
225	Snowflowe	17
225	Warlord324	17
225	SSytex_X	17
231	_Razar	16
231	MattieHD	16
231	2Stout	16
231	CruncyIsTaken	16
231	Mattesco	16
231	sammidk	16
231	ogoa	16
231	KnightmareD	16
231	MightyWertu	16
231	Smiguli_	16
231	UCP_TheKingK	16
231	00000000-0000-0000-0009-01ff0c3e5e4f	16
243	TheDankPlatypus	15
243	loveseeker	15
243	_Boipl_	15
243	masskedman	15
243	fkGrim	15
243	Quincannon	15
243	Th6masss	15
243	Yahir091	15
243	Optiprimus	15
243	Hermanni__	15
253	Dedalus36	14
253	H72l9w	14
253	gaziter10	14
253	wezzzi	14
253	Syropatathe	14
253	Quaintster	14
253	MakeHistory157	14
253	DennyKai	14
253	FishisTTV	14
262	AuroraValkyrie	13
262	bigstankyy	13
262	CyrusIsTired	13
262	crying_wolf_13	13
262	Noah_Bez	13
262	Deodorante	13
262	MAns_44	13
262	Toriankel	13
262	07shiny	13
262	Fizznut909	13
262	PlzNoBM	13
262	Kferno	13
262	Kubeusz2010	13
262	TheOuterCore	13
262	smogfrog	13
262	kinas45y5	13
262	MelodyGaysharks	13
279	error10101	12
279	Natty	12
279	Myszoaz	12
279	MSK__	12
279	fr0stss	12
279	ThePoliteG	12
279	boog4loo	12
279	mimbo1211	12
279	SlayerCrypto	12
279	SpookyDraggin	12
279	ebanana	12
279	NotMeowMix	12
279	__tomato	12
279	AltnumberF4	12
279	Powowowow	12
279	JayToe	12
295	6king6colt6	11
295	Iagoku	11
295	_AceOfSpace_	11
295	Swexti	11
295	epiksk8erduck	11
295	TheTrueClipse	11
