rank	username	minecraft:dropped/minecraft:chainmail_leggings
1	beeperbeeper5	52
2	joethahobo	32
3	HellsSponge	30
4	diamondgolem35	21
4	Gundam_Steven	21
6	Dan_Scha	20
7	eitanzaki	16
8	Werbe	14
9	Drlzyy	12
10	thewindmillman	10
10	YungMaki	10
12	Kakolbus	9
12	StinkyDiplomat	9
14	Mahoose	8
14	Kowcio_	8
16	Blackberry1310	7
16	PigDab	7
16	lordpipe	7
16	djancak	7
20	Kkanot	6
20	EveryonesUncle	6
20	chipklip	6
20	Freak_Genius	6
24	Skylord_Luke	5
24	Akoot_	5
24	Spacewardharpy7	5
27	Frozil20	4
27	Historical_Sand	4
27	TheSecondLord	4
27	Di_infiri	4
27	WeebleSock	4
27	El_Jalapeno	4
27	ProfessorDiaper	4
27	Ezekson	4
27	Smoke____	4
36	pintsizedrogue	3
36	EMC_	3
36	Nesquiczek	3
36	RebelAndroid	3
36	SyntheticSurgeon	3
36	jushykins	3
36	censorsheep	3
36	Blaiku	3
36	Eraxa	3
36	Skippeh	3
36	cichy096	3
36	RadarHz	3
36	jnp_gaming	3
49	Menthas	2
49	Da_Boss_Rani	2
49	bAk5tAb	2
49	ProfessorBee	2
49	500am	2
49	Fullut	2
49	set67	2
49	Masssonnn	2
49	4774	2
49	Mewar	2
49	Septemb3r	2
49	Diavri	2
49	noam464	2
49	ehunt54	2
49	Arceus1975	2
49	Zythose	2
49	Rebytre	2
49	Mattesco	2
49	Wowful	2
49	Jiminie	2
49	DarlaMeow	2
49	fluddd	2
49	monky_irl	2
49	MineMaster0012	2
49	Segotep999	2
49	lcvezra	2
49	Luigipunch989	2
49	laron58	2
49	_KuruKuru	2
49	oxfordschool	2
49	trexgb	2
49	h2p_emrld	2
81	Cowison	1
81	JEWISHBadenBeele	1
81	Merv__	1
81	lewieinnit	1
81	q_wq	1
81	bigstankyy	1
81	Killercatty78	1
81	lotarp	1
81	CoffeeNoir	1
81	Lez_	1
81	Swexti	1
81	SquadMonster	1
81	rarrq	1
81	m_be9	1
81	AngalexikCZ	1
81	Kamflame10	1
81	mwrty	1
81	thescout7	1
81	IforgotCS_Source	1
81	Inchef	1
81	eviltunix	1
81	gcaisawesome	1
81	XboxPanda	1
81	TheDankPlatypus	1
81	M_Patata	1
81	mariominejedi	1
81	CollinMH06	1
81	__Fanda__	1
81	whoaluv	1
81	Chromary	1
81	Rumpletaezer	1
81	Hyp3rion_	1
81	burbankbuilder28	1
81	selectrix	1
81	k1ngGilgamesh	1
81	Onennon	1
81	Shiirazuku	1
81	AlexxO_o	1
81	Invisie	1
81	dartwaffle	1
81	victorLIE	1
81	aec9	1
81	PuFY	1
81	RodSerlingCringe	1
81	Sky_light_KING	1
81	Lord_Jord	1
81	fw3xywashere	1
81	AlphaWolfPlaysMC	1
81	ogoa	1
81	binman420	1
81	masskedman	1
81	Deathkob	1
81	lillips	1
81	CuzIm2Kev	1
81	The_Quack_Dealer	1
81	MyNameIsDakar	1
81	shrimp_flips	1
81	NameGenerat0r	1
81	iHuntWeeaboos	1
81	MAns_44	1
81	EfficientC52	1
81	Templar_David	1
81	GravitySaint	1
81	SkateboardR6	1
81	NotMeowMix	1
81	MasterNueve	1
81	SexcMf	1
81	stavgod	1
81	Kekoo	1
81	SSytex_X	1
81	Fizznut909	1
81	non089	1
81	CalebDHawk	1
81	jcool7	1
81	Njensen7	1
81	Xi_J1nping	1
81	anbbang	1
81	Miko_Fullbuster	1
81	EcksD	1
81	vandmanden	1
81	kinas45y5	1
81	JayToe	1
81	FishisTTV	1
81	diggydog67	1
