rank	username	minecraft:dropped/minecraft:comparator
1	noam464	3095
2	eitanzaki	1108
3	Blaiku	436
4	thescout7	326
5	lillips	308
6	Di_infiri	298
7	thewindmillman	258
8	Werbe	246
8	AssEatrAndLicker	246
10	Hyp3rion_	116
11	EcksD	85
12	MattieHD	80
13	Spenduh	68
14	Nicserso	66
15	EMC_	59
16	Smoke____	51
17	Spacewardharpy7	36
18	Mahoose	24
19	AuroraValkyrie	15
19	Ezekson	15
21	Hermanni__	14
22	PigDab	11
23	_Virify_	10
24	SteveCraftBlocks	9
25	YungMaki	8
26	JEWISHBadenBeele	7
26	Comma__	7
28	ssleepless	6
29	Blackberry1310	5
30	fr0stss	4
31	ImpavidArcher	3
31	Malorn_Aetherius	3
31	kekhon	3
31	r123moore	3
31	Covalents	3
31	Bumpy419	3
31	Hiryu27	3
31	Akoot_	3
31	chipklip	3
31	Freak_Genius	3
31	lordpipe	3
31	SSytex_X	3
43	Merv__	2
43	_Dean_123	2
43	Arceus1975	2
43	Shiirazuku	2
43	Inbefour	2
43	Hisiste	2
43	jnp_gaming	2
43	TechnoNinja64	2
51	PhantomsGhost_	1
51	rarrq	1
51	Cryptacity	1
51	500am	1
51	set67	1
51	egglapras	1
51	Tjhodskins19	1
51	xxPipperDipperxx	1
51	Nyxiom_	1
51	ApophisNova	1
51	fred870d	1
51	DarlaMeow	1
51	Blu3beast	1
51	GravitySaint	1
51	Groundler	1
51	Aezekial	1
51	Strangemonkey71	1
51	__tomato	1
51	fffMike	1
51	MyNamaSheff	1
51	Zoeyfortnite	1
51	Jordan_R	1
