rank	username	minecraft:dropped/minecraft:fire_coral
1	Jackattack53	45
2	Di_infiri	9
3	thewindmillman	7
4	T045RTY	4
4	crashomon	4
4	Onennon	4
4	Enderxz3	4
8	Blackberry1310	2
8	12Magner05	2
8	500am	2
8	_witch_craft_	2
12	pintsizedrogue	1
12	Lez_	1
12	noam464	1
12	Marbz_	1
12	Azmodan_246	1
12	AlexxO_o	1
12	xDraggin	1
12	luseis	1
12	AstreaTSS	1
12	mihimihimihi	1
12	FishisTTV	1
