rank	username	minecraft:dropped/minecraft:crimson_roots
1	thewindmillman	13470
2	noam464	3607
3	Blaiku	2271
4	YungMaki	933
5	HellsSponge	394
6	Smoke____	375
7	gcaisawesome	307
8	Skylord_Luke	285
9	oxfordschool	167
10	eitanzaki	114
10	lillips	114
12	Ev0luti0nz	65
13	KingMatthew506	64
14	Winklepicker279	57
15	MightyWertu	54
15	Segotep999	54
17	Blackberry1310	41
18	beeperbeeper5	30
18	TheSecondLord	30
20	hm947	27
20	tuckerdoodle	27
22	PigDab	24
23	Fullut	22
23	Kowcio_	22
23	SammiWolfGirl	22
26	brofrickcheaters	21
26	PlasticOtari	21
28	trexgb	19
29	Jackattack53	18
30	SkateboardR6	17
31	Hyp3rion_	16
32	HolyVenom	15
33	lizardfightclub	14
33	jnp_gaming	14
35	mwrty	13
35	Freak_Genius	13
37	livingdaydreams	11
37	DeGodz4life	11
39	BlancoFlaco	10
39	RebelAndroid	10
39	joethahobo	10
39	MilleGrug	10
39	Teebone15	10
44	monky_irl	9
44	Hermanni__	9
46	12Magner05	8
47	rarrq	7
47	_Dean_123	7
47	CalebDHawk	7
47	Enderslayerxz3	7
47	diggydog67	7
52	I_Am_Mushkin	6
52	set67	6
52	Skippeh	6
55	_Razar	5
55	Rebytre	5
55	ToastedGamingYT	5
55	gustarbite	5
55	masskedman	5
55	EveryonesUncle	5
61	Zythose	4
61	Spacewardharpy7	4
61	djancak	4
61	Ezekson	4
61	AltnumberF4	4
66	MSK__	3
66	500am	3
66	MyNameIsDakar	3
66	lordpipe	3
66	Eraxa	3
66	guccipucci_	3
66	cichy096	3
73	_NieToksikpl_	2
73	EMC_	2
73	T045RTY	2
73	ShedJr_	2
73	Upstro10	2
73	bloodbiter	2
73	MinttyFressh	2
73	Kubelz	2
73	Arceus1975	2
73	Snowflowe	2
73	MangoTheFish	2
73	fw3xywashere	2
73	NomadicRobin_	2
73	The_Quack_Dealer	2
73	Lutres_Torane	2
73	501g	2
73	WyngGoy	2
73	UltraZombie	2
73	Eczbek	2
73	Miko_Fullbuster	2
93	pintsizedrogue	1
93	_Virify_	1
93	fanofbands101	1
93	Cowison	1
93	JEWISHBadenBeele	1
93	soundad	1
93	error10101	1
93	JingleLizi	1
93	Mahoose	1
93	Historical_Sand	1
93	jacxhadow	1
93	eclipseboi	1
93	Scathra	1
93	r123moore	1
93	Marbz_	1
93	GOOBERGABE04	1
93	Gryglu583	1
93	DanTheBuilderino	1
93	Frozil12	1
93	Hisiste	1
93	Dusk_95	1
93	SvenskaHugo	1
93	__tomato	1
93	Luigipunch989	1
93	tartanboy	1
93	Legendosh	1
93	2blox	1
93	FishisTTV	1
