rank	username	minecraft:dropped/minecraft:chest_minecart
1	Hyp3rion_	532
2	SteveCraftBlocks	117
3	Soplight	101
4	500am	9
5	noam464	8
6	lordpipe	5
7	Ev0luti0nz	4
7	zToasty69z	4
7	FadedSpade82	4
10	corvidpartyfor6	3
10	StarCookiees_	3
12	AuroraValkyrie	2
12	Secret_Canary	2
12	philandr	2
12	bl1ss0	2
12	Fuad_R	2
12	NameGenerat0r	2
12	Racengan	2
12	Kowcio_	2
20	pintsizedrogue	1
20	No_Bena	1
20	CLG_Kata	1
20	WinterSepp	1
20	Niklas20114552	1
20	powercas_gamer	1
20	Mahoose	1
20	kekhon	1
20	gamerlord1324	1
20	Blaiku	1
20	SvenskaHugo	1
20	YungMaki	1
20	Segotep999	1
