rank	username	minecraft:dropped/minecraft:birch_pressure_plate
1	Hyp3rion_	649
2	500am	112
3	Kowcio_	65
4	Werbe	23
5	Kakolbus	16
6	Fullut	13
7	Mr_Teddiursa_K	9
8	EcksD	8
9	noam464	7
9	cichy096	7
11	Tommhh	6
11	Lez_	6
11	crying_wolf_13	6
14	Mahoose	5
14	IAmTheWalrus910	5
14	AdmiralSmoke	5
17	eitanzaki	3
17	AssFullaCum	3
19	ImpavidArcher	2
19	ItsHydroMC	2
19	Y_A_N_N_I	2
19	EveryonesUncle	2
19	StarCookiees_	2
19	YungMaki	2
25	Wooptey	1
25	Blackberry1310	1
25	Jackattack53	1
25	WET_WET_WET	1
25	thewindmillman	1
25	Btabtab	1
25	jewbacaman	1
25	IamCL4SSY	1
25	The_Quack_Dealer	1
25	FreakGenius	1
25	Blaiku	1
25	iSammael	1
25	djancak	1
25	ediballbearings	1
25	Kubeusz2010	1
25	ConnorDanky_	1
25	Nicserso	1
25	AltnumberF4	1
25	xolstoi	1
