rank	username	minecraft:dropped/minecraft:dead_bush
1	PlasticOtari	68
2	skrongus	66
3	FreakGenius	59
4	ConnorDanky_	48
5	AdmiralSmoke	33
6	Nicserso	22
7	Onennon	16
8	Afinnity	12
8	KingMatthew506	12
10	500am	11
11	Awyrlas	10
12	luseis	8
13	corvidpartyfor6	7
13	TheEnderMan548	7
15	beeperbeeper5	5
15	Soplight	5
17	pintsizedrogue	4
17	UncreativeArtist	4
17	SuperPooch06	4
20	tuckerdoodle	3
20	Mahoose	3
20	ShedJr_	3
20	jnp_gaming	3
24	RoskobiOne	2
24	WarMachina	2
24	_Karmaa	2
24	MineMaster0012	2
24	Hermanni__	2
29	jessewegottacook	1
29	Saucepeh	1
29	lordsaladito	1
29	noam464	1
29	__Fanda__	1
29	burbankbuilder28	1
29	oscminus	1
29	Skylord_Luke	1
29	duqboy	1
29	lordpipe	1
29	Kowcio_	1
29	Segotep999	1
29	Skippeh	1
