rank	username	minecraft:dropped/minecraft:golden_helmet
1	oscminus	517
2	thewindmillman	97
3	Spacewardharpy7	49
4	StinkyDiplomat	46
5	Blaiku	34
6	Mahoose	28
6	lordpipe	28
8	Kowcio_	27
8	Segotep999	27
8	Yamdalorian	27
11	joethahobo	25
11	Fullut	25
11	obzii	25
14	PigDab	21
15	Kakolbus	20
16	noam464	19
16	EveryonesUncle	19
18	EMC_	17
18	thescout7	17
18	non089	17
18	Ezekson	17
22	Hyp3rion_	16
23	eitanzaki	15
24	Di_infiri	14
25	k_ce	13
25	Frozil20	13
25	Arceus1975	13
25	Akoot_	13
25	emreknugrlu	13
25	Enderxz3	13
31	fr_ser	12
31	Skippeh	12
31	jnp_gaming	12
34	RebelAndroid	11
34	beeperbeeper5	11
34	TheSecondLord	11
34	excelsionprime	11
34	Manaateee	11
34	Eraxa	11
40	rarrq	10
40	Zythose	10
40	mihimihimihi	10
43	gcaisawesome	9
43	MAns_44	9
43	El_Jalapeno	9
43	Racengan	9
43	sp00ky_ghost977	9
43	HesDemonPants	9
49	Lez_	8
49	Nach0Bear	8
49	Mattesco	8
49	Lord_Jord	8
49	_Hayt	8
49	luseis	8
49	DemTechAlpha	8
49	HellsSponge	8
49	Deerfoot	8
49	censorsheep	8
49	_i_ERROR_i_	8
49	NATE_the_HALO	8
49	Nicserso	8
62	ECstardust	7
62	tuckerdoodle	7
62	Blackberry1310	7
62	M_Patata	7
62	Winklepicker279	7
62	Krowuss	7
62	NomadicRobin_	7
62	FreakGenius	7
62	MasterNueve	7
62	ConnorDanky_	7
72	_Virify_	6
72	q_wq	6
72	T045RTY	6
72	4774	6
72	eviltunix	6
72	aec9	6
72	AppleJacks	6
72	Iamthejo	6
72	Jimb0nat0r	6
81	Cowison	5
81	soundad	5
81	myaccountwasgone	5
81	diamondgolem35	5
81	Historical_Sand	5
81	kekhon	5
81	Smashic	5
81	Cellcorgi649	5
81	2Stout	5
81	Jackattack53	5
81	pretty_pink_reno	5
81	ProfessorDiaper	5
81	ayamefag	5
81	pixelviolin	5
81	YungMaki	5
81	Luigipunch989	5
81	MilleGrug	5
81	skitzxo	5
81	00000000-0000-0000-0009-01ff0c3e5e4f	5
100	Apollo_993	4
100	livingdaydreams	4
100	SyntheticSurgeon	4
100	ShedJr_	4
100	bAk5tAb	4
100	cheerytomato	4
100	Secret_Canary	4
100	xxPipperDipperxx	4
100	CollinMH06	4
100	Jonafrog99	4
100	F_Uhre	4
100	fkGrim	4
100	Blu3beast	4
100	ItsDeltaMC	4
100	Jij0	4
100	xzvu	4
100	Steelynan	4
100	Quotary	4
100	CattSoup	4
100	DairyNickel756	4
100	PlasticOtari	4
100	diggydog67	4
122	Jovaphobic	3
122	pintsizedrogue	3
122	Groovy_MoonBird	3
122	PhantomsGhost_	3
122	SmashingPump	3
122	I_Am_Mushkin	3
122	SaucyDark	3
122	Killercatty78	3
122	Alteriity	3
122	Huwulling	3
122	Ssor69	3
122	Euclidoris	3
122	Crowman1	3
122	500am	3
122	set67	3
122	Masssonnn	3
122	yheece	3
122	Snowflowe	3
122	U_Mos_	3
122	thebaddruid	3
122	Werbe	3
122	RobotMinion101	3
122	AlexxO_o	3
122	Dan_Scha	3
122	Elastiq	3
122	fw3xy74	3
122	Joestra	3
122	EdGalbraith	3
122	Gryglu583	3
122	Soap_Bender	3
122	_Karmaa	3
122	NameGenerat0r	3
122	Xclax101	3
122	Cyntrical	3
122	GravitySaint	3
122	ChronoSounds	3
122	SkateboardR6	3
122	NiveauSubmarine	3
122	Pumpkin_P_Patch	3
122	fffMike	3
122	LeeMcGee30	3
122	TheOuterCore	3
122	EcksD	3
122	vandmanden	3
166	lunaticusx	2
166	NatalieTW	2
166	FujiBS	2
166	KarlKaek	2
166	ImpavidArcher	2
166	Ryker	2
166	lotarp	2
166	_AceOfSpace_	2
166	SpaceGrenadier	2
166	fr0stss	2
166	Da_Boss_Rani	2
166	QuiCreans	2
166	ratglock	2
166	SDMNAEK	2
166	Hydro___________	2
166	jacxhadow	2
166	bloodbiter	2
166	ABUSNA1996	2
166	_Nuf	2
166	corvidpartyfor6	2
166	Kkanot	2
166	Flapjacker687	2
166	Scathra	2
166	Inchef	2
166	LeauVox4921	2
166	__TheNorseMan__	2
166	theonlymagikarp	2
166	r123moore	2
166	Kubelz	2
166	XboxPanda	2
166	_Gabae	2
166	crashomon	2
166	shadowthemonkey	2
166	__Fanda__	2
166	SlayerCrypto	2
166	Rumpletaezer	2
166	hanaryheatwave	2
166	JETrotter	2
166	Donutt	2
166	Bumpy419	2
166	Jekyll	2
166	Skylord_Luke	2
166	ApophisNova	2
166	epiksk8erduck	2
166	Samificator	2
166	LilLizardWizard	2
166	Luminad3	2
166	Tyrannosplart	2
166	AstreaTSS	2
166	Shogunite	2
166	claivin	2
166	EfficientC52	2
166	Buuck_	2
166	Warlord324	2
166	monky_irl	2
166	stavgod	2
166	StarCookiees_	2
166	SvenskaHugo	2
166	IdeallyGrey	2
166	Kijiki	2
166	djancak	2
166	starbits140	2
166	Fizznut909	2
166	_TCARREIRA_	2
166	PortlyPete69	2
166	UltraZombie	2
166	Dogcorn69420	2
166	hermmm_	2
166	VentiHilton	2
166	TheBananaKat	2
166	RadarHz	2
166	MyNamaSheff	2
166	RoboTramp7865	2
166	FelixPSY375	2
166	TheSandwhich_	2
166	2blox_	2
166	Sral7	2
166	annebolyn	2
166	Goat_Man512	2
166	Freedrik	2
166	00000000-0000-0000-0009-01f16526f034	2
247	H0UNDFRMH3LL	1
247	SugarMyNuggets	1
247	Bandito_Roamer	1
247	cletemo	1
247	SpartanNamor	1
247	Mr_Byzantine	1
247	No_Bena	1
247	_Huge_Male_	1
247	PazinGaming	1
247	Merv__	1
247	AuroraValkyrie	1
247	shineh10	1
247	bigstankyy	1
247	Kegradigm	1
247	Ryan_GEMS	1
247	ExtraDumb	1
247	BlancoFlaco	1
247	hm947	1
247	Wooptey	1
247	abdomera	1
247	lorywithay	1
247	Jackster03	1
247	Archsam	1
247	stevewithclout	1
247	MrKrabOnCoke	1
247	iElijahi	1
247	IgnoredBee	1
247	Swexti	1
247	Swalt	1
247	SquadMonster	1
247	FirsTimeGamingTV	1
247	HUNTERmaun	1
247	Valoth	1
247	Tersea_	1
247	Malorn_Aetherius	1
247	NieToksikpl	1
247	Saucepeh	1
247	Auseawesome	1
247	NasdaqCrash	1
247	Sleepy_Evelyn	1
247	BobDeBouwer1337	1
247	mattybeewrapss	1
247	Nicky_H225	1
247	12Magner05	1
247	Boboczus	1
247	MinttyFressh	1
247	Tiberonus	1
247	Raspberry_Sodas	1
247	o0z	1
247	Cortexia	1
247	poopybh	1
247	SteveCraftBlocks	1
247	Enigma0251	1
247	BilboBaggins23	1
