rank	username	minecraft:dropped/minecraft:pumpkin_seeds
1	thewindmillman	17052
2	noam464	3604
3	CrateOfBoxes	2287
4	lillips	2100
5	gcaisawesome	1602
6	eitanzaki	1504
7	HellsSponge	1034
8	beeperbeeper5	888
9	SSytex_X	624
10	TheSecondLord	576
11	Racengan	533
12	Blu3beast	517
13	lordpipe	499
14	Mewar	483
15	Di_infiri	461
16	XxCookiequeenxX	424
17	Jackattack53	391
18	mariominejedi	384
19	Spacewardharpy7	322
20	Soplight	293
21	Blackberry1310	263
22	Nicserso	246
23	T045RTY	238
24	PhantomsGhost_	216
25	_Virify_	200
26	Eraxa	196
27	YungMaki	185
28	Blaiku	179
29	Fullut	174
30	Werbe	170
31	Frozil12	144
32	oreee	140
33	Mahoose	125
34	SuperPooch06	123
35	Ezekson	117
35	Smoke____	117
37	JayToe	112
38	rarrq	108
39	SellyZ	104
40	TechnoNinja64	102
41	Kakolbus	100
42	Bandito_Roamer	95
43	thescout7	90
44	joethahobo	88
45	Chromary	84
45	Rasmanden	84
47	Groovy_MoonBird	82
48	kekhon	78
49	Cocoamallows	75
50	Freak_Genius	74
50	PortlyPete69	74
50	UrbanPlanner1978	74
53	MightyWertu	72
53	Typadopoulos	72
55	500am	68
56	oxfordschool	65
57	SammiWolfGirl	64
57	fffMike	64
59	6king6colt6	63
60	diamondgolem35	52
61	Zoeyfortnite	50
61	Wanjibon	50
63	The11thDoctor	47
63	Akoot_	47
65	El_Jalapeno	43
66	chipklip	40
66	Groundler	40
68	Luigipunch989	38
69	EcksDofficial	37
70	xxPipperDipperxx	36
70	EveryonesUncle	36
70	__tomato	36
73	bloodbiter	34
73	DTwenty	34
73	IdeallyGrey	34
76	12Magner05	32
77	seramalen	31
78	Comma__	28
79	teslawolf38	27
80	Xclax101	26
81	Jonte0599	25
82	BlancoFlaco	24
82	hm947	24
82	MOSS000	24
82	MattieHD	24
82	Paintz	24
82	sammidk	24
88	ShedJr_	22
88	mwrty	22
88	jewbacaman	22
88	Enderslayerxz3	22
92	ColeSnyder	20
92	ProfessorBee	20
92	Onennon	20
92	CaptainAvenger7	20
92	Kamiento	20
92	Lowjinx	20
92	Powowowow	20
99	Tolhart	19
99	kinas45y5	19
101	Natty	17
101	roxycherry	17
101	Zythose	17
101	DarlaMeow	17
105	Ilinca_Io	16
105	Franco093	16
105	CarltheCuck	16
105	Hyp3rion_	16
105	IAmTheWalrus910	16
105	Sheldor097	16
111	pintsizedrogue	15
111	BigBootyHudge	15
113	Donutt	14
113	Nycteus_	14
115	Ninzyyy	12
115	Cowison	12
115	CoffeeNoir	12
115	jushykins	12
115	ThePoliteG	12
115	WET_WET_WET	12
115	The_slideV3	12
115	Barlycorn	12
115	ElKaySVK	12
115	sp00ky_ghost977	12
115	alderban107	12
115	Vellu21	12
127	Diavri	11
127	PigDab	11
127	LeeMcGee30	11
130	SlowMoNinja1994	10
130	ImpavidArcher	10
132	Jovaphobic	9
132	EcksD	9
134	peachfuzz1267	8
134	m_be9	8
134	ConcretePirate	8
134	TheDankPlatypus	8
134	Nope______	8
134	Snowflowe	8
134	CruncyIsTaken	8
