rank	username	minecraft:dropped/minecraft:birch_door
1	picardred	28
2	cichy096	14
3	Xclax101	10
4	thewindmillman	9
4	Rebytre	9
6	WET_WET_WET	8
6	lcvezra	8
8	Wooptey	7
8	Blackberry1310	7
8	lordpipe	7
11	Tommhh	6
11	gren_ben	6
11	eitanzaki	6
11	IAmTheWalrus910	6
11	EcksD	6
16	Lez_	5
16	beeperbeeper5	5
16	brofrickcheaters	5
19	ThePoliteG	4
19	crying_wolf_13	4
19	Btabtab	4
19	_Cloverbelle_	4
19	Vellu21	4
19	TechnoNinja64	4
25	heckface	3
25	Upstro10	3
25	NoraTheYandere	3
25	platinumzero	3
25	smarticuno	3
25	nonarso	3
25	Ezekson	3
32	Groovy_MoonBird	2
32	Esme_1	2
32	Incinere	2
32	lotarp	2
32	DSYisDizzy	2
32	PigDab	2
32	Jimi7hits	2
32	luseis	2
32	handsome_strong	2
32	Blu3beast	2
32	stellarjay	2
32	KingMatthew506	2
44	ANGIELUVSDWEAM	1
44	NatalieTW	1
44	Paint	1
44	Merv__	1
44	shineh10	1
44	bigstankyy	1
44	joethahobo	1
44	elmer1234	1
44	Nicky_H225	1
44	kekhon	1
44	thescout7	1
44	Dali1465	1
44	SellyZ	1
44	noam464	1
44	Kakolbus	1
44	swag_bro2004	1
44	dendydoom	1
44	Skylord_Luke	1
44	CaptainDeadBread	1
44	Werbe	1
44	The11thDoctor	1
44	seramalen	1
44	tyraxxx	1
44	fluddd	1
44	Vorlice	1
44	Spacewardharpy7	1
44	Soplight	1
44	jaimshae	1
44	xzvu	1
44	Nargotah	1
44	Steelynan	1
44	anbbang	1
44	ConnorDanky_	1
44	AltnumberF4	1
