rank	username	minecraft:dropped/minecraft:nether_brick
1	Hyp3rion_	105731
2	Frozil20	94646
3	thewindmillman	64017
4	noam464	36256
5	Blaiku	16720
6	PazinGaming	7168
7	k_ce	6625
8	Jackattack53	5143
9	eitanzaki	1679
10	Smoke____	888
11	Fullut	881
12	gcaisawesome	834
13	PigDab	692
14	EMC_	687
15	mwrty	674
16	beeperbeeper5	656
17	mihimihimihi	432
18	Spacewardharpy7	384
19	EcksD	365
20	Mythic1130	339
21	lillips	273
22	FreakGenius	226
23	Blu3beast	223
24	Di_infiri	201
25	sadvavilloso	192
26	lordpipe	191
27	TechnoNinja64	183
28	chipklip	165
29	HellsSponge	124
30	RobotMinion101	103
31	Mahoose	66
31	Powowowow	66
33	lizardfightclub	65
34	BobDeBouwer1337	64
34	Lutres_Torane	64
34	Tyrannosplart	64
37	TheSecondLord	56
38	ConnorDanky_	54
39	lotarp	42
40	yulgur1	34
41	lorpus	28
41	NATE_the_HALO	28
41	jnp_gaming	28
44	mimbo1211	23
44	CalebDHawk	23
46	Lord_Jord	22
47	CliffEmAll	21
47	Snowflowe	21
49	T045RTY	18
49	rarrq	18
49	_Magdo_	18
52	ReSynced	17
52	diggydog67	17
54	EveryonesUncle	14
55	MineMaster0012	13
56	Sral7	12
57	ShedJr_	11
57	m_be9	11
57	12Magner05	11
57	YungMaki	11
61	I_Am_Mushkin	10
61	Blackberry1310	10
61	HoldThatPee	10
61	stellarjay	10
65	__TheNorseMan__	9
65	starbits140	9
65	DennyKai	9
65	Iamthejo	9
69	Paint	8
69	Master_Kol	8
69	surfinggiraffejp	8
72	RebelAndroid	7
72	Kakolbus	7
72	Biites	7
75	RealGroot	6
75	cichy096	6
77	teslawolf38	5
77	Ardennes	5
77	Luigipunch989	5
80	pintsizedrogue	4
80	gren_ben	4
80	500am	4
80	PlasticOtari	4
84	TheBiggestFeller	3
84	_Razaria	3
84	KingEgg1	3
84	NomadicRobin_	3
84	Xclax101	3
84	Kowcio_	3
90	SyntheticSurgeon	2
90	_Nuf	2
90	gabriels543	2
90	R1CHY2K	2
90	SaintJosie	2
90	420BreadLizard	2
90	audiocracked	2
90	pixelviolin	2
90	jcool7	2
90	MilleGrug	2
90	Nicserso	2
90	Enderxz3	2
102	Sleek_Storm_721	1
102	Natty	1
102	joethahobo	1
102	kekhon	1
102	CyrusIsTired	1
102	SuperPooch06	1
102	Zythose	1
102	Rebytre	1
102	The11thDoctor	1
102	Moofyman	1
102	cedric72	1
102	jewbacaman	1
102	stavgod	1
102	Jij0	1
102	lcvezra	1
102	GlitchyPlate810	1
