rank	username	minecraft:dropped/minecraft:green_carpet
1	beeperbeeper5	946
2	noam464	157
3	CJPerson	90
4	HolyVenom	65
5	jnp_gaming	45
6	HellsSponge	36
7	Blaiku	28
8	ShedJr_	26
9	eitanzaki	24
10	XxCookiequeenxX	21
11	2blox	20
12	heckface	17
12	Spacewardharpy7	17
14	rarrq	10
15	oxfordschool	8
16	Werbe	7
16	PigDab	7
18	Freak_Genius	6
19	EMC_	5
19	ProfessorBee	5
21	SaucyDark	4
21	lordpipe	4
21	PlzNoBM	4
24	pintsizedrogue	3
24	teslawolf38	3
24	KarlKaek	3
24	kekhon	3
24	The_slideV3	3
24	Hermanni__	3
24	TechnoNinja64	3
31	Cowison	2
31	gcaisawesome	2
31	Di_infiri	2
31	fred870d	2
31	RodSerlingCringe	2
31	Shin69	2
31	Kyrum2169	2
31	KingMatthew506	2
31	EcksD	2
40	joethahobo	1
40	pr33tu	1
40	burbankbuilder28	1
40	RobotMinion101	1
40	FishyBoy3811	1
40	thgrocks	1
40	EveryonesUncle	1
40	SkateboardR6	1
40	Dusk_95	1
40	_Tilariel_	1
40	djancak	1
40	Soplight	1
40	cichy096	1
40	Enderslayerxz3	1
40	Legendosh	1
40	FishisTTV	1
