rank	username	minecraft:dropped/minecraft:cooked_chicken
1	beeperbeeper5	1700
2	PhantomsGhost_	1103
3	Arceus1975	837
4	kekhon	699
5	Smashic	672
6	CliffEmAll	621
7	Lez_	471
8	Hyp3rion_	402
9	MineMaster0012	334
10	Blackberry1310	294
11	Frozil20	278
12	thescout7	277
13	TechnoNinja64	271
14	Kowcio_	251
15	Jackattack53	250
16	Merv__	238
17	Blu3beast	233
18	lordpipe	221
19	AdmiralSmoke	193
20	Wooptey	187
20	Tyrannosplart	187
22	Soplight	163
23	Huwulling	162
24	oscminus	134
25	claivin	131
26	Akoot_	130
27	Shadoko_	128
27	CarltheCuck	128
27	S4tox	128
30	_Dean_123	124
31	Warlord324	120
32	SammiWolfGirl	119
33	Mahoose	118
34	luseis	111
35	lillips	94
36	Enderxz3	93
37	ImpavidArcher	89
38	rarrq	81
38	Werbe	81
38	fluddd	81
41	SaphLaseer	79
41	starbits140	79
41	jnp_gaming	79
44	EveryonesUncle	73
45	skrongus	69
46	Spacewardharpy7	68
47	SuperPooch06	67
48	Tina_x	66
49	Groovy_MoonBird	64
49	Shiirazu	64
49	Spenduh	64
49	FelixPSY375	64
53	k_ce	63
54	KatieBelle04	61
55	MoistMicrowave	60
55	ooga47	60
57	T045RTY	59
57	DarlaMeow	59
59	TheBananaKat	58
60	Saucepeh	57
60	Rebytre	57
60	YungMaki	57
63	eitanzaki	56
64	TheShyPig	55
65	M_Patata	51
65	MasterNueve	51
67	KingJamBanana1	50
68	EcksD	49
69	joethahobo	45
70	ROY4LE	44
71	CalebDHawk	43
72	Chromary	37
72	Skippeh	37
74	Di_infiri	36
74	Segotep999	36
76	Kakolbus	35
77	PazinGaming	33
77	Eman__1	33
77	SvenskaHugo	33
80	ketaminmann	32
80	Wyatt143	32
82	Badenbeele	31
82	himak1	31
84	fr0stss	30
84	Bumpy419	30
84	The11thDoctor	30
87	pintsizedrogue	29
87	bloodbiter	29
89	Jimb0nat0r	27
90	_Bguette_	26
90	djancak	26
92	silverpopcorn	25
93	mimbo1211	24
93	KermitTheKripple	24
93	ItsJunoIGuess	24
96	LeonelSalamanca	23
97	Scathra	22
97	HellsSponge	22
97	SkateboardR6	22
97	Shin69	22
101	Onennon	20
101	thgrocks	20
103	xxPipperDipperxx	19
103	hanaryheatwave	19
103	DaviusMaximoose	19
103	Kubeusz2010	19
103	ConnorDanky_	19
103	Nicserso	19
109	Hahaa_0	18
110	fanofbands101	17
110	_TCARREIRA_	17
110	PortlyPete69	17
113	Lord_Jord	16
113	jcool7	16
115	lorpus	15
116	Alteriity	14
116	Inchef	14
116	AlexxO_o	14
116	NomadicRobin_	14
116	Kyrum2169	14
121	_Huge_Male_	13
121	ShedJr_	13
121	WET_WET_WET	13
121	Pootis11	13
121	El_Jalapeno	13
121	NebulousBadger	13
127	Incinere	12
127	TheSecondLord	12
127	xofe	12
127	Quaintster	12
131	Bandito_Roamer	11
131	hm947	11
131	Rox_The_Box	11
131	Winklepicker279	11
131	thewindmillman	11
131	Zythose	11
131	valkam13	11
131	xzvu	11
131	alderban107	11
140	intropass	10
140	Doom_melon	10
140	Skylord_Luke	10
140	Quincannon	10
140	K_a__a_n	10
140	Steelynan	10
140	Ezekson	10
147	ECstardust	9
147	MattieHD	9
147	ApophisNova	9
147	F_Uhre	9
147	QuacksonThe3rd	9
147	Meatlaugh	9
147	RedcatVII	9
147	Eraxa	9
147	CACTUSLAD	9
147	Sheldor097	9
147	MyNamaSheff	9
158	Jakobo1337	8
158	SteveCraftBlocks	8
158	NameGenerat0r	8
158	WyngGoy	8
158	StarCookiees_	8
163	SoosAmongus	7
163	I_Am_Mushkin	7
163	DinoDoctor_	7
163	Swexti	7
163	Wowful	7
163	Groundler	7
163	BlankityMcBlank	7
163	tartanboy	7
171	bigstankyy	6
171	JapansDragon	6
171	the_fireminer	6
171	SquadMonster	6
171	Rich_Kat	6
171	noam464	6
171	fallingemma	6
171	AJplaysMC_	6
171	Neemuuri	6
171	Hiryu27	6
171	Nadhorion	6
171	Drewen24	6
171	Rasmanden	6
171	ogoa	6
171	Manaateee	6
171	mihimihimihi	6
171	stellarjay	6
171	_i_ERROR_i_	6
171	Slovitypagus	6
171	Powowowow	6
171	Zoeyfortnite	6
171	xolstoi	6
171	FishisTTV	6
194	Paint	5
194	q_wq	5
194	SyntheticSurgeon	5
194	MrKrabOnCoke	5
194	Chickenchaser2	5
194	Dali1465	5
194	SpicyMeatballs	5
194	imcombxt	5
194	XboxPanda	5
194	legal_tax_evader	5
194	RobotMinion101	5
194	masskedman	5
194	ayamefag	5
207	Apollo_993	4
207	SmashingPump	4
207	NinjaKnifeKill	4
207	jessewegottacook	4
207	tramizu	4
207	Valoth	4
207	Crowman1	4
207	Comma__	4
207	m_be9	4
207	Ravenbie	4
207	_Nuf	4
207	UncreativeArtist	4
207	Mewar	4
207	Covalents	4
207	CaptainSteve345	4
207	yheece	4
207	Jonafrog99	4
207	Nicky19	4
207	gustarlep	4
207	censorsheep	4
207	Blaiku	4
207	pixelviolin	4
207	lcvezra	4
207	KingMatthew506	4
207	trexgb	4
232	CLG_Kata	3
232	Jorrdi	3
232	TrNrGhost	3
232	6king6colt6	3
232	diamondgolem35	3
232	libbytingz	3
232	mwrty	3
232	emrekn	3
232	2Stout	3
232	whoaluv	3
232	RyuNeko932000	3
232	HolyVenom	3
232	AlphaWolfPlaysMC	3
232	weabis	3
232	TheEnderMan548	3
232	bloomkieren	3
232	Luigipunch989	3
232	alanbleachdemon	3
232	Moetis	3
232	SirBreadward	3
232	calamariclam_I	3
253	naser_0_0_	2
253	_Virify_	2
253	Tommhh	2
253	SaucyDark	2
253	Killercatty78	2
253	Flores991	2
253	RebelAndroid	2
253	youhjjhhhjj	2
253	InfernalMound	2
253	corvidpartyfor6	2
253	500am	2
253	fade_emerge78823	2
253	KingEgg1	2
253	olliebollie48	2
253	Gamergirl420628	2
253	Rumpletaezer	2
253	wTXop	2
253	drompje	2
253	Voxin2K	2
253	_Cloverbelle_	2
253	ougstur	2
253	GooseWithin	2
253	ILoveCarrot	2
253	420BreadLizard	2
253	Inbefour	2
253	NoChumpChange	2
253	Deathkob	2
253	majlin16	2
253	Shogunite	2
253	FreakGenius	2
253	WhyTho_1	2
253	Racengan	2
253	Vorlice	2
253	monky_irl	2
253	Majonezzon	2
253	ReyTheLegend	2
253	_3Stump_	2
253	gooseboi_69	2
253	JasmineGK	2
253	PlasticOtari	2
253	Sral7	2
253	h2p_emrld	2
253	00000000-0000-0000-0009-01fc3bb26159	2
296	RosaDoesMC	1
296	Jovaphobic	1
296	CueMix	1
296	TildaAndrea	1
296	KarlKaek	1
