rank	username	minecraft:dropped/minecraft:chiseled_bookshelf
1	mymayowasgone	254
2	Lez_	71
3	pixelviolin	58
4	bl1ss0	2
5	Zee_zey	1
5	Mattesco	1
5	StarCookiees_	1
5	LuvLuvLove	1
