rank	username	minecraft:dropped/minecraft:jungle_fence
1	Wooptey	72
2	EveryonesUncle	55
3	Tyrannosplart	54
4	seramalen	38
5	Hyp3rion_	37
5	emreknugrlu	37
7	WET_WET_WET	35
8	SvenskaHugo	34
9	_Virify_	28
10	MovingFish7	20
11	mwrty	15
12	Xalithia	14
13	EdGalbraith	13
14	AuroraValkyrie	12
14	MightyWertu	12
16	QuesoCrusaderIII	11
17	OreTheBear	10
17	FreakGenius	10
17	Racengan	10
20	Secret_Canary	8
21	Di_infiri	7
22	Blu3beast	6
23	beeperbeeper5	5
23	Fullbit_	5
25	Mattesco	4
25	jcool7	4
27	Stynxy	3
27	Shiirazu	3
27	Inbefour	3
27	HellsSponge	3
27	ConnorDanky_	3
32	Comma__	2
32	GingerNeutron	2
32	fxiryglitch	2
32	PuFY	2
32	Fuad_R	2
32	1442	2
32	annebolyn	2
39	_Huge_Male_	1
39	SaucyDark	1
39	eitanzaki	1
39	T045RTY	1
39	Lez_	1
39	ROY4LE	1
39	ese_wn_po	1
39	Xclax101	1
39	Groundler	1
39	_Mythic____	1
39	TechnoNinja64	1
39	skitzxo	1
