rank	username	minecraft:dropped/minecraft:warped_button
1	thewindmillman	7597
2	EcksD	5152
3	noam464	1972
4	YungMaki	34
5	Hyp3rion_	32
6	beeperbeeper5	22
7	eitanzaki	17
8	djancak	16
9	lordpipe	12
10	Dakar_	11
11	joethahobo	6
12	Manaateee	4
13	12Magner05	3
13	Mattesco	3
13	PigDab	3
13	luseis	3
13	ConnorDanky_	3
18	Apollo_993	2
18	Spacewardharpy7	2
18	AdmiralSmoke	2
21	pintsizedrogue	1
21	Lez_	1
21	kekhon	1
21	500am	1
21	Xalithia	1
21	HolyVenom	1
21	mihimihimihi	1
21	brofrickcheaters	1
21	EngagedGrub41	1
21	Jimb0nat0r	1
