rank	username	minecraft:dropped/minecraft:light_blue_concrete_powder
1	Hyp3rion_	129352
2	Spacewardharpy7	4056
3	thewindmillman	1560
4	lillips	95
5	r123moore	88
6	mwrty	65
7	ImpavidArcher	64
7	TheSecondLord	64
7	Manaateee	64
10	kekhon	55
11	AuroraValkyrie	39
11	beeperbeeper5	39
13	noam464	35
14	Arceus1975	32
15	Blaiku	24
16	Blackberry1310	14
17	eitanzaki	9
18	Jackattack53	4
19	ssleepless	2
19	Soplight	2
19	Steelynan	2
22	SteveCraftBlocks	1
22	luseis	1
22	Blu3beast	1
22	lordpipe	1
22	brofrickcheaters	1
22	SammiWolfGirl	1
