rank	username	minecraft:dropped/minecraft:black_concrete
1	noam464	26052
2	thewindmillman	7819
3	Blaiku	1022
4	Werbe	975
5	jnp_gaming	905
6	Tolhart	836
7	YungMaki	512
8	Hyp3rion_	400
9	eitanzaki	306
10	mihimihimihi	293
11	Di_infiri	272
12	Marbz_	256
12	xzvu	256
14	lordpipe	244
15	beeperbeeper5	238
16	ooga47	194
17	The_slideV3	175
18	Mythic1130	138
19	thescout7	137
20	BlancoFlaco	128
21	NameGenerat0r	127
22	PigDab	120
23	MLG_Kirby69	64
24	RealGroot	62
25	Jimb0nat0r	53
26	rarrq	50
27	MakeHistory157	48
28	Incinere	46
29	binman420	31
30	Merv__	27
31	lillips	26
32	kekhon	24
32	xolstoi	24
34	Kowcio_	19
35	Ahketen	18
36	Akoot_	17
37	Sheldor097	14
37	Nicserso	14
39	M_Patata	12
39	MasterNueve	12
41	Kiki_Majiki	11
42	joethahobo	10
43	I_Am_Mushkin	9
43	Rebytre	9
45	SkateboardR6	8
46	Mahoose	7
46	Soplight	7
46	h2p_emrld	7
49	seanitoo	6
49	Euclidoris	6
49	Uzbeki_John	6
52	Ze_BaronKrigler	5
52	TheOuterCore	5
54	Blackberry1310	4
54	TheSecondLord	4
54	luseis	4
54	Spacewardharpy7	4
58	Jackattack53	3
58	LordSpeed37	3
58	laron58	3
58	EcksD	3
58	Powowowow	3
63	gcaisawesome	2
63	0nly_sn1per	2
63	MyNameIsJobo	2
63	Arceus1975	2
63	burbankbuilder28	2
63	GreedyFern8581	2
63	yulgur1	2
63	RoofTyler	2
63	HellsSponge	2
63	Warlord324	2
63	Hisiste	2
63	Quotary	2
75	Frozil20	1
75	NasdaqCrash	1
75	Comma__	1
75	jushykins	1
75	SteveCraftBlocks	1
75	_Dean_123	1
75	NotTrixi	1
75	Inchef	1
75	platinumzero	1
75	gabriels543	1
75	Zythose	1
75	Hiryu27	1
75	Skylord_Luke	1
75	Onennon	1
75	_Bguette_	1
75	FreakGenius	1
75	Blu3beast	1
75	SSytex_X	1
75	CalebDHawk	1
75	Njensen7	1
75	PlasticOtari	1
75	Smoke____	1
