rank	username	minecraft:dropped/minecraft:gray_wool
1	noam464	158339
2	thewindmillman	56739
3	EcksD	31286
4	Hyp3rion_	5859
5	Blaiku	5268
6	HellsSponge	3763
7	lordpipe	2565
8	kekhon	2391
9	FreakGenius	2201
10	joethahobo	2175
11	eitanzaki	1047
12	XxCookiequeenxX	724
13	YungMaki	637
14	ConnorDanky_	525
15	beeperbeeper5	405
16	Ezekson	325
17	Werbe	323
18	Inbefour	320
19	xxPipperDipperxx	257
20	PhantomsGhost_	256
21	k_ce	207
22	Fuad_R	196
23	Di_infiri	190
24	RebytreGT	144
25	Quaintster	130
26	Eraxa	129
26	CattSoup	129
28	ImpavidArcher	87
29	SvenskaHugo	86
30	PigDab	81
31	ECstardust	80
32	The11thDoctor	72
33	PazinGaming	66
33	Jimb0nat0r	66
35	Yamdalorian	65
36	Shogunite	64
36	Enderxz3	64
38	MuffinManzz	62
39	skitzxo	51
40	Lez_	47
41	PlasticOtari	38
42	TheSecondLord	37
42	Dogcorn69420	37
44	luseis	32
45	TechnoNinja64	25
46	Skylord_Luke	21
47	H0UNDFRMH3LL	19
48	TheBananaKat	17
49	Tyrannosplart	15
50	Spacewardharpy7	14
51	xzvu	12
52	Frozil20	11
52	thgrocks	11
54	squigglybones	10
54	_Karmaa	10
56	Manaateee	9
57	pintsizedrogue	8
57	Cryptacity	8
57	crashomon	8
57	AspenLightVT	8
61	NatalieTW	7
61	Blackberry1310	7
63	Secret_Canary	6
63	Winklepicker279	6
63	Inconvenionce	6
63	EfficientC52	6
67	Rumpletaezer	5
68	Groovy_MoonBird	4
68	EMC_	4
68	Smashic	4
68	thescout7	4
68	burbankbuilder28	4
68	Lord_Jord	4
68	Shin69	4
68	Kowcio_	4
68	ssniffles	4
68	FelixPSY375	4
68	TheSandwhich_	4
79	Froste131	3
79	Killercatty78	3
79	MrKrabOnCoke	3
79	dopplexd	3
79	Frxnkz	3
79	Nicky_H225	3
79	_Dean_123	3
79	hcb238	3
79	ARandomHedge	3
79	trixterrx	3
79	HyperCave	3
79	EveryonesUncle	3
79	QueenShuvi	3
79	fluddd	3
79	TheKingK_	3
79	brofrickcheaters	3
79	PortlyPete69	3
79	Calbo_	3
97	gren_ben	2
97	BlancoFlaco	2
97	hm947	2
97	_Razaria	2
97	abdomera	2
97	Alteriity	2
97	Seyaboy	2
97	lotarp	2
97	Archsam	2
97	gaziter10	2
97	rarrq	2
97	LoboTheLobster	2
97	corvidpartyfor6	2
97	UncreativeArtist	2
97	Nach0Bear	2
97	__TheNorseMan__	2
97	M_Patata	2
97	CollinMH06	2
97	Jackattack53	2
97	xambsam	2
97	oscminus	2
97	ItsAki_	2
97	ScootOfBoot	2
97	Mattesco	2
97	AlexxO_o	2
97	Rasmanden	2
97	HoldThatPee	2
97	Wowful	2
97	yulgur1	2
97	DarlaMeow	2
97	Blu3beast	2
97	MasterNueve	2
97	babyjimmyneutron	2
97	Spenduh	2
97	miramyu	2
97	Chuglyfe	2
97	fffMike	2
97	smogfrog	2
97	Nicserso	2
97	h2p_emrld	2
137	Lepthymo	1
137	Elprone266	1
137	Apollo_993	1
137	TrNrGhost	1
137	BigBootyHudge	1
137	powercas_gamer	1
137	I_Am_Mushkin	1
137	DinoDoctor_	1
137	Hpdinosaur	1
137	Incinere	1
137	RebelAndroid	1
137	Jahara	1
137	Batman922	1
137	No_u4	1
137	ZaneABrain	1
137	CoffeeNoir	1
137	Mahoose	1
137	spaece	1
137	Os_qq	1
137	ShedJr_	1
137	oreee	1
137	JCdaLeg3nd	1
137	Pofen	1
137	heckface	1
137	NieToksikpl	1
137	Crowman1	1
137	CliffEmAll	1
137	m_be9	1
137	12Magner05	1
137	MattieHD	1
137	ProfessorBee	1
137	Guillemet	1
137	_Nuf	1
137	isak_oskar	1
137	i2f8x4h8ro	1
137	Scathra	1
137	mwrty	1
137	Blazebit	1
137	Eraza	1
137	emrekn	1
137	KGTV	1
137	Tenns	1
137	noyan121	1
137	HypixelForums	1
137	Paintz	1
137	olliebollie48	1
137	CharlieButt	1
137	Crasswolf	1
137	xFaiithyX	1
137	legal_tax_evader	1
137	caesarleon	1
137	Arceus1975	1
137	Snowflowe	1
137	LAVA129	1
137	Strats__	1
137	Silvo614	1
137	pappaberg	1
137	Bumpy419	1
137	SpaggeDR	1
137	Kynigito	1
137	MinerDec	1
137	Moofyman	1
137	Project_MKBRD	1
137	J4k__	1
137	FishyBoy3811	1
137	zToasty69z	1
137	Blackerstons	1
137	Maenara	1
137	Blazaey	1
