rank	username	minecraft:dropped/minecraft:crimson_nylium
1	thewindmillman	42222
2	YungMaki	577
3	lillips	572
4	Winklepicker279	504
5	gustarlep	305
6	Hyp3rion_	144
7	noam464	110
8	beeperbeeper5	107
9	jnp_gaming	90
10	TheSecondLord	87
11	trexgb	68
12	gcaisawesome	64
12	FreakGenius	64
12	monky_irl	64
15	NomadicRobin_	60
16	Blaiku	52
16	RealGroot	52
18	Kakolbus	50
18	Lord_Jord	50
20	DinoDoctor_	49
21	HellsSponge	42
21	MightyWertu	42
23	hm947	37
24	Kowcio_	34
25	Kura2218	29
26	00000000-0000-0000-0009-01ff0c3e5e4f	28
27	shadowthemonkey	25
28	NieToksikpl	23
29	RebelAndroid	21
29	500am	21
31	Jimb0nat0r	20
32	Sleepy_Time_	17
32	Zythose	17
32	ConnorDanky_	17
32	Smoke____	17
36	eitanzaki	16
37	Spacewardharpy7	15
38	CoffeeNoir	14
38	Lutres_Torane	14
40	Hisiste	13
40	Ezekson	13
42	kekhon	12
42	Secret_Canary	12
44	pintsizedrogue	11
44	Frozil20	11
44	T045RTY	11
44	Di_infiri	11
44	Nycteus_	11
44	2bolx_	11
50	Megarboh	10
50	LazySupport00	10
52	EMC_	9
52	livingdaydreams	9
54	rarrq	8
54	r123moore	8
54	mihimihimihi	8
54	iSammael	8
54	_Yonk_	8
54	Hermanni__	8
60	MilleGrug	7
61	CadenSteele	6
61	mwrty	6
61	lizardfightclub	6
64	_Virify_	5
64	ITDV	5
64	DanTheBuilderino	5
67	Flores991	4
67	gaziter10	4
67	set67	4
67	AlexxO_o	4
67	EveryonesUncle	4
67	The_Quack_Dealer	4
67	MyNameIsDakar	4
67	Quaintster	4
67	Dusk_95	4
67	Mythic1130	4
67	Enderxz3	4
78	I_Am_Mushkin	3
78	bloodbiter	3
78	Jackattack53	3
78	Arceus1975	3
78	burbankbuilder28	3
78	Solar_Power	3
78	ZA07	3
78	Gab4101	3
78	Racengan	3
78	UltraZombie	3
78	EcksD	3
89	Hpdinosaur	2
89	Alteriity	2
89	Swexti	2
89	12Magner05	2
89	SteveCraftBlocks	2
89	MangoTheFish	2
89	Rebytre	2
89	PigDab	2
89	luseis	2
89	lordpipe	2
89	MakeHistory157	2
89	Eraxa	2
89	TheEnderMan548	2
89	Eczbek	2
89	Kubeusz2010	2
89	diggydog67	2
105	Cowison	1
105	ShedJr_	1
105	Lez_	1
105	Historical_Sand	1
105	Fullut	1
105	Smashic	1
105	benediktine1	1
105	Lil_Breadboy	1
105	Chromary	1
105	Mattesco	1
105	groofles	1
105	NameGenerat0r	1
105	Shogunite	1
105	ItzWqlfy	1
105	pixelviolin	1
105	obzii	1
105	Skippeh	1
105	PlasticOtari	1
105	Biites	1
