rank	username	minecraft:dropped/minecraft:brown_dye
1	thewindmillman	329310
2	noam464	38467
3	ECstardust	481
4	Hyp3rion_	244
5	Krowuss	243
6	ConnorDanky_	214
7	teslawolf38	195
8	jnp_gaming	192
9	Alteriity	139
10	PlasticOtari	128
11	beeperbeeper5	73
12	Akoot_	70
13	luseis	65
14	jessemgaming	64
14	Onennon	64
14	AdmiralSmoke	64
17	kekhon	60
18	Blaiku	55
19	TheSecondLord	39
20	FreakGenius	37
21	Rebytre	36
22	Spacewardharpy7	34
23	Wowful	32
24	Blackberry1310	31
25	Cocoamallows	20
26	Lez_	18
27	StinkyDiplomat	16
28	GooseWithin	14
29	AlexxO_o	13
30	SpacesickPrism	10
31	eitanzaki	9
31	Mahoose	9
33	bloodbiter	8
34	I_Am_Mushkin	6
34	EveryonesUncle	6
36	Huwulling	5
37	lcvezra	4
38	500am	3
38	SaintJosie	3
40	_Virify_	2
40	_Huge_Male_	2
40	hm947	2
40	joethahobo	2
40	SteveCraftBlocks	2
40	Jackattack53	2
40	Lord_Jord	2
40	NomadicRobin_	2
40	Kowcio_	2
40	AltnumberF4	2
50	pintsizedrogue	1
50	Bandito_Roamer	1
50	6king6colt6	1
50	dawerty	1
50	_lildarki3	1
50	Fullut	1
50	mwrty	1
50	WET_WET_WET	1
50	lillips	1
50	Manaateee	1
50	HellsSponge	1
50	Quaintster	1
50	MAns_44	1
50	iSammael	1
50	Eraxa	1
50	MineMaster0012	1
50	Ezekson	1
50	EcksD	1
50	Quotary	1
50	AstroLightz_	1
