rank	username	minecraft:dropped/minecraft:campfire
1	500am	287
2	thewindmillman	72
3	Frozil20	64
4	noam464	40
5	Moofyman	37
6	Werbe	29
7	BobDeBouwer1337	24
7	XboxPanda	24
9	Mahoose	22
10	PazinGaming	21
11	kekhon	19
12	Eraxa	18
13	PhantomsGhost_	16
13	rarrq	16
13	Meatlaugh	16
13	Blu3beast	16
17	Uzbeki_John	13
18	TheSecondLord	8
18	TechnoNinja64	8
20	Comma__	7
20	thescout7	7
20	Di_infiri	7
23	Winklepicker279	6
23	HolyVenom	6
23	Freak_Genius	6
26	Groovy_MoonBird	5
26	xxPipperDipperxx	5
28	hm947	4
28	Blaiku	4
28	Steelynan	4
28	00000000-0000-0000-0009-01ff0c3e5e4f	4
32	Fullut	3
32	Hyp3rion_	3
32	Rebytre	3
32	fkGrim	3
32	Racengan	3
32	Cocoamallows	3
32	YungMaki	3
32	starbits140	3
32	Vellu21	3
41	Sleek_Storm_721	2
41	SaucyDark	2
41	Blackberry1310	2
41	SDMNAEK	2
41	gabriels543	2
41	seramalen	2
41	HELLO_I_AM_BEAR	2
41	Nycteus_	2
41	Xclax101	2
41	Warlord324	2
41	SvenskaHugo	2
41	lcvezra	2
41	oxfordschool	2
41	WYFYoyo	2
55	diamondgolem35	1
55	DinoDoctor_	1
55	T045RTY	1
55	joethahobo	1
55	Euclidoris	1
55	titanlax	1
55	eviltunix	1
55	SuperPooch06	1
55	Nyxiom_	1
55	lizardfightclub	1
55	Jimi7hits	1
55	Roikdean	1
55	masskedman	1
55	_Bguette_	1
55	fluddd	1
55	Groundler	1
55	lordpipe	1
55	Kowcio_	1
55	Soplight	1
55	Sheldor097	1
55	KingMatthew506	1
55	EcksD	1
55	Zoeyfortnite	1
