rank	username	minecraft:dropped/minecraft:dropper
1	noam464	3464
2	eitanzaki	2303
3	Hyp3rion_	1487
4	Jackattack53	1369
5	EcksD	962
6	PigDab	371
7	lillips	244
8	Blaiku	243
9	mihimihimihi	197
10	thescout7	122
11	thewindmillman	112
12	Werbe	107
13	Awyrlas	80
14	Frozil20	72
15	Blu3beast	65
16	Eczbek	64
17	Fuad_R	63
18	lordpipe	60
19	Di_infiri	59
20	EMC_	28
21	SteveCraftBlocks	23
21	Nicserso	23
23	Spacewardharpy7	21
24	TheSecondLord	16
25	KliBeast21	14
26	AngalexikCZ	12
26	FreakGenius	12
28	Inchef	10
29	kekhon	5
29	boog4loo	5
29	Arceus1975	5
32	Sral7	4
33	Mahoose	3
33	lorpus	3
33	CattSoup	3
36	Wooptey	2
36	Maenara	2
36	SkateboardR6	2
36	WyngGoy	2
36	__tomato	2
36	obzii	2
36	fffMike	2
43	_Virify_	1
43	SmashingPump	1
43	Merv__	1
43	AuroraValkyrie	1
43	oreee	1
43	rarrq	1
43	carloselpapii	1
43	12Magner05	1
43	MinttyFressh	1
43	LILI_G_F_2007	1
43	SellyZ	1
43	r123moore	1
43	benediktine1	1
43	MangoTheFish	1
43	Bumpy419	1
43	Akoot_	1
43	HellsSponge	1
43	Eraxa	1
43	Mythic1130	1
43	voiding_	1
43	SvenskaHugo	1
43	Soplight	1
43	CalebDHawk	1
43	calamariclam_I	1
