rank	username	minecraft:dropped/minecraft:crimson_fungus
1	noam464	20412
2	thewindmillman	3462
3	eitanzaki	1565
4	EcksD	630
5	Lez_	432
6	lillips	349
7	_Mythic____	195
8	Di_infiri	146
9	Jimb0nat0r	117
10	YungMaki	106
11	AdmiralSmoke	78
12	ConnorDanky_	67
13	Akoot_	61
14	SammiWolfGirl	60
15	500am	47
16	Ev0luti0nz	36
17	pintsizedrogue	30
18	FreakGenius	27
19	excelsionprime	20
20	Blaiku	18
21	shadowthemonkey	14
21	HolyVenom	14
21	Kowcio_	14
24	beeperbeeper5	12
24	Blackberry1310	12
26	T045RTY	11
27	Hyp3rion_	10
28	BlancoFlaco	8
28	Alteriity	8
28	Winklepicker279	8
31	Werbe	5
32	k_ce	4
32	PazinGaming	4
32	12Magner05	4
32	UncreativeArtist	4
32	Enderxz3	4
32	trexgb	4
38	hm947	3
38	crying_wolf_13	3
38	set67	3
38	olliebollie48	3
38	MightyWertu	3
43	livingdaydreams	2
43	Mahoose	2
43	Alfred603	2
43	Crowman1	2
43	_Dean_123	2
43	mwrty	2
43	pumpfonzo	2
43	whoaluv	2
43	Rebytre	2
43	Skylord_Luke	2
43	zToasty69z	2
43	EveryonesUncle	2
43	SvenskaHugo	2
43	Segotep999	2
43	MilleGrug	2
43	mobunni	2
43	Legendosh	2
60	Krasnal1337	1
60	Ryker	1
60	joethahobo	1
60	NieToksikpl	1
60	TheSecondLord	1
60	MinttyFressh	1
60	Megarboh	1
60	eclipseboi	1
60	Lord_Jord	1
60	HellsSponge	1
60	Racengan	1
60	Spacewardharpy7	1
60	mihimihimihi	1
60	lordpipe	1
60	Druid95	1
60	TheEnderMan548	1
60	IdeallyGrey	1
60	_Yonk_	1
60	athereall	1
60	Skippeh	1
60	jnp_gaming	1
60	Jordan_R	1
